pair,signals,wins,losses,ties,wr,upTrades,upWins,upWR,downTrades,downWins,downWR
EUR_USD,0,0,0,0,0.0,0,0,0.0,0,0,0.0
GBP_USD,0,0,0,0,0.0,0,0,0.0,0,0,0.0
USD_JPY,3,1,1,1,50.0,1,1,100.0,1,0,0.0
AUD_USD,0,0,0,0,0.0,0,0,0.0,0,0,0.0
NZD_USD,4,1,2,1,33.3,1,0,0.0,2,1,50.0
USD_CAD,3,2,1,0,66.7,2,1,50.0,1,1,100.0
USD_CHF,3,0,3,0,0.0,0,0,0.0,3,0,0.0
EUR_GBP,1,0,0,1,0.0,0,0,0.0,0,0,0.0
EUR_JPY,4,1,3,0,25.0,2,1,50.0,2,0,0.0
GBP_JPY,3,1,2,0,33.3,1,0,0.0,2,1,50.0
AUD_JPY,3,0,3,0,0.0,2,0,0.0,1,0,0.0
EUR_AUD,4,2,2,0,50.0,2,2,100.0,2,0,0.0
