seqId,attempt,attemptLabel,pair,direction,entryIso,expiryIso,entryPrice,expiryPrice,result,stake,payout,pnl,accumulatedLosses,sequencePnL,balanceBefore,balanceAfter
1,0,Base,USD/JPY,PUT,2024-08-01T00:49:00.000Z,2024-08-01T00:53:00.000Z,149.594,149.776,LOSS,1,0.8,-1,1,-1,100,99
1,1,MG1,GBP/USD,PUT,2024-08-01T01:49:00.000Z,2024-08-01T01:53:00.000Z,1.28548,1.2854,WIN,2.25,0.8,1.8,1,0.8,99,100.8
2,0,Base,EUR/JPY,PUT,2024-08-01T02:29:00.000Z,2024-08-01T02:33:00.000Z,161.462,161.6,LOSS,1.01,0.8,-1.01,1.01,-1.01,100.8,99.79
2,1,MG1,AUD/USD,PUT,2024-08-01T02:42:00.000Z,2024-08-01T02:46:00.000Z,0.65339,0.65356,LOSS,2.28,0.8,-2.28,3.29,-3.29,99.79,97.51
2,2,MG2,EUR/USD,PUT,2024-08-01T03:00:00.000Z,2024-08-01T03:04:00.000Z,1.0826,1.08276,LOSS,5.12,0.8,-5.12,8.41,-8.41,97.51,92.39
2,3,MG3,GBP/USD,CALL,2024-08-01T03:18:00.000Z,2024-08-01T03:22:00.000Z,1.28562,1.28547,LOSS,11.53,0.8,-11.53,19.94,-19.94,92.39,80.86
2,4,MG4,GBP/USD,CALL,2024-08-01T04:05:00.000Z,2024-08-01T04:09:00.000Z,1.28548,1.28574,WIN,25.94,0.8,20.75,19.94,0.81,80.86,101.61
3,0,Base,EUR/GBP,PUT,2024-08-01T04:12:00.000Z,2024-08-01T04:16:00.000Z,0.84264,0.84271,LOSS,1.02,0.8,-1.02,1.02,-1.02,101.61,100.59
3,1,MG1,AUD/USD,CALL,2024-08-01T05:54:00.000Z,2024-08-01T05:58:00.000Z,0.65327,0.65334,WIN,2.3,0.8,1.84,1.02,0.82,100.59,102.43
4,0,Base,USD/JPY,CALL,2024-08-01T06:18:00.000Z,2024-08-01T06:22:00.000Z,149.768,149.94,WIN,1.02,0.8,0.82,0,0.82,102.43,103.25
5,0,Base,GBP/JPY,CALL,2024-08-01T06:23:00.000Z,2024-08-01T06:27:00.000Z,192.376,192.368,LOSS,1.03,0.8,-1.03,1.03,-1.03,103.25,102.22
5,1,MG1,GBP/JPY,PUT,2024-08-01T06:51:00.000Z,2024-08-01T06:55:00.000Z,192.228,192.268,LOSS,2.31,0.8,-2.31,3.34,-3.34,102.22,99.91
5,2,MG2,AUD/USD,PUT,2024-08-01T07:16:00.000Z,2024-08-01T07:20:00.000Z,0.65268,0.65312,LOSS,5.2,0.8,-5.2,8.54,-8.54,99.91,94.71
5,3,MG3,NZD/USD,PUT,2024-08-01T07:37:00.000Z,2024-08-01T07:41:00.000Z,0.59473,0.59496,LOSS,11.7,0.8,-11.7,20.24,-20.24,94.71,83.01
5,4,MG4,NZD/USD,CALL,2024-08-01T07:51:00.000Z,2024-08-01T07:55:00.000Z,0.59509,0.59482,LOSS,26.32,0.8,-26.32,46.56,-46.56,83.01,56.69
