expiry,pair,signals,wins,losses,ties,winRate
3,EUR/USD,44,23,21,6,52.27%
3,GBP/USD,52,35,17,7,67.31%
3,USD/JPY,52,28,24,1,53.85%
3,AUD/USD,42,23,19,1,54.76%
3,NZD/USD,36,15,21,0,41.67%
3,USD/CAD,40,25,15,1,62.50%
3,USD/CHF,41,17,24,1,41.46%
3,EUR/GBP,48,20,28,9,41.67%
3,EUR/JPY,48,22,26,1,45.83%
3,GBP/JPY,47,17,30,1,36.17%
3,AUD/JPY,35,20,15,3,57.14%
3,EUR/AUD,43,21,22,6,48.84%
5,EUR/USD,49,23,26,1,46.94%
5,GBP/USD,57,33,24,2,57.89%
5,USD/JPY,51,24,27,2,47.06%
5,AUD/USD,42,24,18,1,57.14%
5,NZD/USD,36,15,21,0,41.67%
5,USD/CAD,41,26,15,0,63.41%
5,USD/CHF,38,15,23,4,39.47%
5,EUR/GBP,49,23,26,8,46.94%
5,EUR/JPY,47,21,26,2,44.68%
5,GBP/JPY,44,23,21,4,52.27%
5,AUD/JPY,37,20,17,1,54.05%
5,EUR/AUD,47,22,25,2,46.81%
