variant,expiry,signals,wins,losses,winRate,ci95
pin_only,3,24568,12296,12272,50.05%,"[49.42%, 50.67%]"
pin_only,5,24951,12426,12525,49.80%,"[49.18%, 50.42%]"
sma_only,3,5613,2803,2810,49.94%,"[48.63%, 51.25%]"
sma_only,5,5698,2839,2859,49.82%,"[48.53%, 51.12%]"
binary_master,3,528,266,262,50.38%,"[46.13%, 54.63%]"
binary_master,5,538,269,269,50.00%,"[45.79%, 54.21%]"
pin_inv_sma,3,504,246,258,48.81%,"[44.47%, 53.17%]"
pin_inv_sma,5,504,244,260,48.41%,"[44.08%, 52.77%]"
inv_pin_sma,3,504,258,246,51.19%,"[46.83%, 55.53%]"
inv_pin_sma,5,504,260,244,51.59%,"[47.23%, 55.92%]"
inverted_master,3,528,262,266,49.62%,"[45.37%, 53.87%]"
inverted_master,5,538,269,269,50.00%,"[45.79%, 54.21%]"
