pattern,occurrences,nextUp,nextDown,upPct,downPct
UP-UP,56104,28124,27980,0.5012833309567946,0.4987166690432055
DOWN-UP,55675,28002,27673,0.5029546475078581,0.4970453524921419
UP-DOWN,55664,28573,27091,0.5133120149468238,0.4866879850531762
DOWN-DOWN,52082,27127,24955,0.5208517338043854,0.4791482661956146
UP-DOWN-UP,28496,14399,14097,0.505298989331836,0.49470101066816397
UP-UP-UP,28056,14052,14004,0.5008554319931565,0.4991445680068435
DOWN-UP-UP,27920,14000,13920,0.501432664756447,0.498567335243553
UP-UP-DOWN,27898,14430,13468,0.5172413793103449,0.4827586206896552
DOWN-UP-DOWN,27597,14059,13538,0.5094394318222996,0.4905605681777005
DOWN-DOWN-UP,27034,13538,13496,0.5007767995857069,0.49922320041429313
UP-DOWN-DOWN,27032,14020,13012,0.5186445693992305,0.48135543060076946
DOWN-DOWN-DOWN,24904,13034,11870,0.5233697398008352,0.47663026019916477
UP-D,310,160,150,0.5161290322580645,0.4838709677419355
D-UP,299,128,171,0.4280936454849498,0.5719063545150501
D-DOWN,291,145,146,0.49828178694158076,0.5017182130584192
DOWN-D,278,138,140,0.49640287769784175,0.5035971223021583
D-UP-DOWN,169,84,85,0.4970414201183432,0.5029585798816568
DOWN-UP-D,163,81,82,0.49693251533742333,0.5030674846625767
UP-DOWN-D,162,78,84,0.48148148148148145,0.5185185185185185
UP-D-UP,160,75,85,0.46875,0.53125
UP-D-DOWN,149,70,79,0.4697986577181208,0.5302013422818792
UP-UP-D,147,79,68,0.5374149659863946,0.46258503401360546
D-DOWN-DOWN,146,73,73,0.5,0.5
D-DOWN-UP,145,65,80,0.4482758620689655,0.5517241379310345
DOWN-D-DOWN,140,74,66,0.5285714285714286,0.4714285714285714
DOWN-D-UP,138,53,85,0.38405797101449274,0.6159420289855072
D-UP-UP,128,72,56,0.5625,0.4375
DOWN-DOWN-D,115,60,55,0.5217391304347826,0.4782608695652174
