month,signals,sellWr
2022-08,6432,49.78%
2022-09,6312,48.65%
2022-10,6072,48.86%
2022-11,6324,49.00%
2022-12,6039,48.90%
2023-01,6336,49.29%
2023-02,5760,48.89%
2023-03,6612,48.58%
2023-04,5783,48.69%
2023-05,6624,49.17%
2023-06,6312,48.45%
2023-07,6072,49.56%
2023-08,6624,49.03%
2023-09,6024,48.69%
2023-10,6360,49.07%
2023-11,6324,48.83%
2023-12,5751,50.83%
2024-01,6350,49.06%
2024-02,6047,47.54%
2024-03,6060,49.04%
2024-04,6336,47.29%
2024-05,6578,47.92%
2024-06,5784,48.29%
2024-07,6624,48.75%
2024-08,6312,50.32%
2024-09,6072,49.49%
2024-10,6624,49.67%
2024-11,6024,49.82%
2024-12,6048,48.81%
2025-01,6336,48.96%
2025-02,5760,48.87%
2025-03,6072,48.80%
2025-04,6336,49.38%
2025-05,6312,49.16%
2025-06,6072,47.91%
2025-07,6624,49.11%
2025-08,6048,49.12%
2025-09,6336,48.55%
2025-10,6600,48.58%
2025-11,5772,48.15%
2025-12,6324,48.21%
2026-01,6048,48.41%
2026-02,5760,48.92%
2026-03,6360,49.40%
2026-04,6336,49.04%
2026-05,6048,47.83%
2026-06,6336,50.16%
2026-07,6600,48.26%
