pair,candles,wins,losses,ties,sellWr,ci95,bias
EUR/AUD,24890,12578,12283,29,50.53%,"[49.91%, 51.16%]",NO_CLEAR_BIAS
NZD/USD,24898,12402,12420,76,49.81%,"[49.19%, 50.43%]",NO_CLEAR_BIAS
EUR/USD,24893,12370,12451,72,49.69%,"[49.07%, 50.31%]",NO_CLEAR_BIAS
EUR/GBP,24891,12354,12403,134,49.63%,"[49.01%, 50.25%]",NO_CLEAR_BIAS
GBP/USD,24891,12296,12529,66,49.40%,"[48.78%, 50.02%]",NO_CLEAR_BIAS
USD/CHF,24891,12292,12501,98,49.38%,"[48.76%, 50.00%]",NO_CLEAR_BIAS
AUD/USD,24891,12208,12603,80,49.05%,"[48.42%, 49.67%]",BUY_BIAS
USD/CAD,24891,12182,12623,86,48.94%,"[48.32%, 49.56%]",BUY_BIAS
AUD/JPY,24891,11943,12900,48,47.98%,"[47.36%, 48.60%]",BUY_BIAS
USD/JPY,24891,11838,12997,56,47.56%,"[46.94%, 48.18%]",BUY_BIAS
GBP/JPY,24891,11836,13021,34,47.55%,"[46.93%, 48.17%]",BUY_BIAS
EUR/JPY,24891,11759,13089,43,47.24%,"[46.62%, 47.86%]",BUY_BIAS
