id,date,pair,direction,outcome,entry,stop,target,stopPips,targetPips,mfePips,maePips,mfeR,maeR,tpCompletion,pipsMissingFromTp,slConsumed,pipsRemainingToSl,barsToMfe,barsToMae,actualR,invDir,invOutcome,invR,invMfePips,invMaePips,invTpCompletion
9d78f4ac-7810-4117-b989-0a8d3eb83aec,2026-08-19T09:30:00.000Z,EUR_GBP,long,stop_first,0.85613,0.85532,0.85776,8.12809,16.25619,0.70000,10.60000,0.08612,1.30412,0.04306,15.55619,1.30412,0.00000,1.00000,16.00000,-1.00000,short,stop_first,-1.00000,8.00000,8.50000,0.49212
d24da1e0-1ffe-4cfa-a226-1a9e7a7fa7bc,2026-08-19T10:15:00.000Z,EUR_USD,long,target_first,1.16101,1.15941,1.16421,16.01802,32.03603,32.70000,11.50000,2.04145,0.71794,1.02073,0.00000,0.71794,4.51802,11.00000,6.00000,2.00000,short,stop_first,-1.00000,8.70000,21.70000,0.27157
5df8d46d-60d7-4b29-b209-a8170f2aa7a2,2026-08-19T11:30:00.000Z,USD_CAD,long,stop_first,1.38753,1.38613,1.39034,14.04571,28.09143,1.10000,19.20000,0.07832,1.36696,0.03916,26.99143,1.36696,0.00000,1.00000,6.00000,-1.00000,short,target_first,2.00000,35.60000,3.50000,1.26729
e6274907-9960-4265-a8ff-d93fc2566dac,2026-08-19T11:45:00.000Z,AUD_USD,short,stop_first,0.70698,0.70825,0.70445,12.66524,25.33048,-1.20000,13.40000,-0.09475,1.05801,-0.04737,26.53048,1.05801,0.00000,1.00000,3.00000,-1.00000,long,target_first,2.00000,30.30000,1.50000,1.19619
c707079e-d4fb-460d-a402-e42451c32aa7,2026-08-19T11:45:00.000Z,GBP_USD,short,stop_first,1.35494,1.35678,1.35127,18.36356,36.72711,-0.90000,40.90000,-0.04901,2.22724,-0.02451,37.62711,2.22724,0.00000,1.00000,4.00000,-1.00000,long,target_first,2.00000,37.60000,1.80000,1.02377
f8820684-cc59-4eb3-a7ee-ba93d0030250,2026-08-19T12:45:00.000Z,AUD_USD,long,forced_close,0.70959,0.70676,0.71524,28.26731,56.53463,32.30000,2.80000,1.14266,0.09905,0.57133,24.23463,0.09905,25.46731,8.00000,1.00000,0.99762,short,stop_first,-1.00000,0.00000,31.40000,0.00000
5f80880c-be92-4233-92f9-a3b0e18ae0cc,2026-08-19T14:15:00.000Z,EUR_GBP,long,forced_close,0.85645,0.85499,0.85937,14.58320,29.16640,19.40000,1.80000,1.33030,0.12343,0.66515,9.76640,0.12343,12.78320,25.00000,1.00000,1.24115,short,stop_first,-1.00000,-0.60000,15.20000,-0.02057
6cdc6370-0e1d-4401-98a4-5dfadfa8db11,2026-08-19T18:00:00.000Z,USD_JPY,long,stop_first,158.60000,158.25386,159.29227,34.61358,69.22716,-1.20000,47.20000,-0.03467,1.36363,-0.01733,70.42716,1.36363,0.00000,1.00000,6.00000,-1.00000,short,forced_close,1.20184,48.20000,2.10000,0.69626
c7c89ac7-b570-4537-b484-672bff163cd9,2026-08-20T07:00:00.000Z,USD_JPY,short,stop_first,158.36900,158.77856,157.54987,40.95631,81.91262,15.90000,44.10000,0.38822,1.07676,0.19411,66.01262,1.07676,0.00000,10.00000,21.00000,-1.00000,long,forced_close,1.70914,80.30000,17.80000,0.98031
4134c89b-49e8-441a-a0a5-0a9fad051e16,2026-08-20T07:00:00.000Z,EUR_USD,long,forced_close,1.16877,1.16679,1.17273,19.78646,39.57291,22.00000,19.20000,1.11187,0.97036,0.55594,17.57291,0.97036,0.58646,13.00000,39.00000,-0.48013,short,stop_first,-1.00000,8.10000,23.40000,0.20469
38cfba87-3e1f-4186-9e64-68ab1de1c901,2026-08-20T07:00:00.000Z,AUD_USD,long,stop_first,0.71224,0.71097,0.71477,12.65522,25.31045,9.70000,14.80000,0.76648,1.16948,0.38324,15.61045,1.16948,0.00000,15.00000,20.00000,-1.00000,short,forced_close,0.61635,18.40000,11.50000,0.72697
d602c566-7716-4976-aa67-80368bf69322,2026-08-20T07:45:00.000Z,GBP_USD,long,forced_close,1.36290,1.36017,1.36836,27.30046,54.60093,29.90000,9.60000,1.09522,0.35164,0.54761,24.70093,0.35164,17.70046,10.00000,18.00000,0.08058,short,stop_first,-1.00000,5.50000,33.80000,0.10073
5c4e888a-09fc-4d67-bb12-e2dce00f732f,2026-08-20T07:45:00.000Z,USD_CAD,short,forced_close,1.37825,1.37999,1.37477,17.42114,34.84229,26.20000,14.10000,1.50392,0.80936,0.75196,8.64229,0.80936,3.32114,11.00000,37.00000,-0.37311,long,stop_first,-1.00000,0.40000,19.30000,0.01148
690bd639-862c-48ae-af9e-b54fb680f78a,2026-08-20T13:15:00.000Z,AUD_JPY,long,forced_close,112.94700,112.71680,113.40740,23.02011,46.04022,23.50000,4.60000,1.02085,0.19983,0.51042,22.54022,0.19983,18.42011,27.00000,1.00000,0.89053,short,stop_first,-1.00000,0.20000,23.80000,0.00434
e3fa7fd7-aae5-4ff9-b205-a15a6e16d020,2026-08-20T15:45:00.000Z,USD_CHF,long,forced_close,0.80058,0.79689,0.80796,36.90543,73.81085,3.30000,11.80000,0.08942,0.31974,0.04471,70.51085,0.31974,25.10543,14.00000,2.00000,-0.05148,short,forced_close,-0.01084,9.30000,5.60000,0.12600
e9a51a97-e3b2-4cb4-8864-539486bde47d,2026-08-20T16:45:00.000Z,AUD_USD,short,forced_close,0.71108,0.71305,0.70715,19.65044,39.30088,4.20000,3.90000,0.21374,0.19847,0.10687,35.10088,0.19847,15.75044,7.00000,1.00000,-0.17302,long,forced_close,0.01527,0.80000,7.20000,0.02036
