Trade number,Type,Date and time,Signal,Price JPY,Size (qty),Size (value),Net PnL JPY,Return %,Commission JPY,Favorable excursion JPY,Favorable excursion %,Adverse excursion JPY,Adverse excursion %,Cumulative PnL JPY,Cumulative PnL %,Duration (bars)
1,Exit long,2023-01-04 10:00,TP_OR_SL,90.214,1,89.709,0.51,0.56,0,0.51,0.56,-0.06,-0.06,0.51,0.01,3
1,Entry long,2023-01-04 07:00,AUDJPY_1200_LONG,89.709,1,89.709,0.51,0.56,0,0.51,0.56,-0.06,-0.06,0.51,0.01,3
2,Exit long,2023-01-05 09:00,TP_OR_SL,90.426,1,90.67,-0.24,-0.27,0,0.32,0.35,-0.24,-0.27,0.26,0.00,2
2,Entry long,2023-01-05 07:00,AUDJPY_1200_LONG,90.67,1,90.67,-0.24,-0.27,0,0.32,0.35,-0.24,-0.27,0.26,0.00,2
3,Exit long,2023-01-06 08:00,TP_OR_SL,90.407,1,90.63,-0.22,-0.25,0,0.26,0.28,-0.22,-0.25,0.04,0.00,1
3,Entry long,2023-01-06 07:00,AUDJPY_1200_LONG,90.63,1,90.63,-0.22,-0.25,0,0.26,0.28,-0.22,-0.25,0.04,0.00,1
4,Exit long,2023-01-20 10:00,TIME_EXIT,90.308,1,90.164,0.14,0.16,0,0.27,0.30,-0.05,-0.06,0.18,0.00,3
4,Entry long,2023-01-20 07:00,AUDJPY_1200_LONG,90.164,1,90.164,0.14,0.16,0,0.27,0.30,-0.05,-0.06,0.18,0.00,3
5,Exit long,2023-01-23 10:00,TP_OR_SL,91.534,1,91.124,0.41,0.45,0,0.41,0.45,-0.12,-0.13,0.59,0.01,3
5,Entry long,2023-01-23 07:00,AUDJPY_1200_LONG,91.124,1,91.124,0.41,0.45,0,0.41,0.45,-0.12,-0.13,0.59,0.01,3
6,Exit long,2023-01-26 09:00,TP_OR_SL,92.812,1,92.403,0.41,0.44,0,0.41,0.44,-0.14,-0.16,1,0.01,2
6,Entry long,2023-01-26 07:00,AUDJPY_1200_LONG,92.403,1,92.403,0.41,0.44,0,0.41,0.44,-0.14,-0.16,1,0.01,2
7,Exit long,2023-02-09 10:00,TIME_EXIT,91.258,1,91.33,-0.07,-0.08,0,0.13,0.14,-0.15,-0.17,0.93,0.01,3
7,Entry long,2023-02-09 07:00,AUDJPY_1200_LONG,91.33,1,91.33,-0.07,-0.08,0,0.13,0.14,-0.15,-0.17,0.93,0.01,3
8,Exit long,2023-02-13 10:00,TP_OR_SL,92.327,1,91.974,0.35,0.38,0,0.35,0.38,-0.01,-0.01,1.28,0.01,3
8,Entry long,2023-02-13 07:00,AUDJPY_1200_LONG,91.974,1,91.974,0.35,0.38,0,0.35,0.38,-0.01,-0.01,1.28,0.01,3
9,Exit long,2023-02-14 08:00,TP_OR_SL,92.066,1,92.232,-0.17,-0.18,0,0,0.00,-0.17,-0.18,1.12,0.01,1
9,Entry long,2023-02-14 07:00,AUDJPY_1200_LONG,92.232,1,92.232,-0.17,-0.18,0,0,0.00,-0.17,-0.18,1.12,0.01,1
10,Exit long,2023-02-28 10:00,TP_OR_SL,91.931,1,92.064,-0.13,-0.14,0,0.13,0.14,-0.13,-0.14,0.98,0.01,3
10,Entry long,2023-02-28 07:00,AUDJPY_1200_LONG,92.064,1,92.064,-0.13,-0.14,0,0.13,0.14,-0.13,-0.14,0.98,0.01,3
11,Exit long,2023-03-29 11:00,TIME_EXIT,88.632,1,88.475,0.16,0.18,0,0.23,0.26,-0.12,-0.14,1.14,0.01,3
11,Entry long,2023-03-29 08:00,AUDJPY_1200_LONG,88.475,1,88.475,0.16,0.18,0,0.23,0.26,-0.12,-0.14,1.14,0.01,3
12,Exit long,2023-03-30 11:00,TIME_EXIT,88.922,1,88.925,-0.003,0.00,0,0.16,0.18,-0.11,-0.12,1.14,0.01,3
12,Entry long,2023-03-30 08:00,AUDJPY_1200_LONG,88.925,1,88.925,-0.003,0.00,0,0.16,0.18,-0.11,-0.12,1.14,0.01,3
13,Exit long,2023-04-03 10:00,TP_OR_SL,89.778,1,90.013,-0.23,-0.26,0,0.05,0.05,-0.23,-0.26,0.9,0.01,2
13,Entry long,2023-04-03 08:00,AUDJPY_1200_LONG,90.013,1,90.013,-0.23,-0.26,0,0.05,0.05,-0.23,-0.26,0.9,0.01,2
14,Exit long,2023-04-10 10:00,TP_OR_SL,88.688,1,88.316,0.37,0.42,0,0.37,0.42,-0.02,-0.02,1.27,0.01,2
14,Entry long,2023-04-10 08:00,AUDJPY_1200_LONG,88.316,1,88.316,0.37,0.42,0,0.37,0.42,-0.02,-0.02,1.27,0.01,2
