Trade number,Type,Date and time,Signal,Price USD,Size (qty),Size (value),Net PnL USD,Return %,Commission USD,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative PnL USD,Cumulative PnL %,Duration (bars)
1,Exit long,2023-01-04 09:00,TIME_EXIT,0.68774,1,0.68718,0.001,0.08,0,0.001,0.21,-0.002,-0.27,0.001,0.00,3
1,Entry long,2023-01-04 06:00,AUDUSD_HL_BASE,0.68718,1,0.68718,0.001,0.08,0,0.001,0.21,-0.002,-0.27,0.001,0.00,3
2,Exit long,2023-01-05 08:00,TP_OR_SL,0.68156,1,0.6834,-0.002,-0.27,0,0.001,0.11,-0.002,-0.27,-0.001,0.00,2
2,Entry long,2023-01-05 06:00,AUDUSD_HL_BASE,0.6834,1,0.6834,-0.002,-0.27,0,0.001,0.11,-0.002,-0.27,-0.001,0.00,2
3,Exit long,2023-01-18 08:00,TP_OR_SL,0.70532,1,0.70184,0.003,0.50,0,0.003,0.50,-0.0005,-0.07,0.002,0.00,2
3,Entry long,2023-01-18 06:00,AUDUSD_HL_BASE,0.70184,1,0.70184,0.003,0.50,0,0.003,0.50,-0.0005,-0.07,0.002,0.00,2
4,Exit long,2023-01-26 08:00,TP_OR_SL,0.71018,1,0.71171,-0.002,-0.21,0,0.001,0.15,-0.002,-0.21,0.001,0.00,2
4,Entry long,2023-01-26 06:00,AUDUSD_HL_BASE,0.71171,1,0.71171,-0.002,-0.21,0,0.001,0.15,-0.002,-0.21,0.001,0.00,2
5,Exit long,2023-02-01 09:00,TIME_EXIT,0.70846,1,0.70788,0.001,0.08,0,0.001,0.20,-0.0004,-0.05,0.001,0.00,3
5,Entry long,2023-02-01 06:00,AUDUSD_HL_BASE,0.70788,1,0.70788,0.001,0.08,0,0.001,0.20,-0.0004,-0.05,0.001,0.00,3
6,Exit long,2023-02-09 08:00,TP_OR_SL,0.7004,1,0.69773,0.003,0.38,0,0.003,0.38,-0.0001,-0.02,0.004,0.00,2
6,Entry long,2023-02-09 06:00,AUDUSD_HL_BASE,0.69773,1,0.69773,0.003,0.38,0,0.003,0.38,-0.0001,-0.02,0.004,0.00,2
7,Exit long,2023-02-13 09:00,TIME_EXIT,0.69528,1,0.69316,0.002,0.31,0,0.002,0.34,-0.0003,-0.04,0.01,0.00,3
7,Entry long,2023-02-13 06:00,AUDUSD_HL_BASE,0.69316,1,0.69316,0.002,0.31,0,0.002,0.34,-0.0003,-0.04,0.01,0.00,3
8,Exit long,2023-02-20 09:00,TIME_EXIT,0.69182,1,0.69084,0.001,0.14,0,0.001,0.18,-0.001,-0.17,0.01,0.00,3
8,Entry long,2023-02-20 06:00,AUDUSD_HL_BASE,0.69084,1,0.69084,0.001,0.14,0,0.001,0.18,-0.001,-0.17,0.01,0.00,3
9,Exit long,2023-03-01 08:00,TP_OR_SL,0.67585,1,0.67737,-0.002,-0.22,0,0.001,0.15,-0.002,-0.22,0.01,0.00,2
9,Entry long,2023-03-01 06:00,AUDUSD_HL_BASE,0.67737,1,0.67737,-0.002,-0.22,0,0.001,0.15,-0.002,-0.22,0.01,0.00,2
10,Exit long,2023-03-09 09:00,TIME_EXIT,0.66231,1,0.6618,0.001,0.08,0,0.002,0.28,-0.001,-0.15,0.01,0.00,3
10,Entry long,2023-03-09 06:00,AUDUSD_HL_BASE,0.6618,1,0.6618,0.001,0.08,0,0.002,0.28,-0.001,-0.15,0.01,0.00,3
11,Exit long,2023-03-14 08:00,TP_OR_SL,0.66492,1,0.66658,-0.002,-0.25,0,0.003,0.40,-0.002,-0.25,0.004,0.00,1
11,Entry long,2023-03-14 07:00,AUDUSD_HL_BASE,0.66658,1,0.66658,-0.002,-0.25,0,0.003,0.40,-0.002,-0.25,0.004,0.00,1
12,Exit long,2023-03-28 10:00,TP_OR_SL,0.67022,1,0.66806,0.002,0.32,0,0.002,0.32,-0.001,-0.10,0.01,0.00,3
12,Entry long,2023-03-28 07:00,AUDUSD_HL_BASE,0.66806,1,0.66806,0.002,0.32,0,0.002,0.32,-0.001,-0.10,0.01,0.00,3
13,Exit long,2023-04-03 10:00,TIME_EXIT,0.67818,1,0.67625,0.002,0.29,0,0.003,0.37,-0.001,-0.10,0.01,0.00,3
13,Entry long,2023-04-03 07:00,AUDUSD_HL_BODY_EXTREME,0.67625,1,0.67625,0.002,0.29,0,0.003,0.37,-0.001,-0.10,0.01,0.00,3
14,Exit long,2023-04-13 09:00,TP_OR_SL,0.67632,1,0.67362,0.003,0.40,0,0.003,0.40,-0.0003,-0.05,0.01,0.00,2
14,Entry long,2023-04-13 07:00,AUDUSD_HL_BASE,0.67362,1,0.67362,0.003,0.40,0,0.003,0.40,-0.0003,-0.05,0.01,0.00,2
15,Exit long,2023-04-18 09:00,TP_OR_SL,0.67279,1,0.67382,-0.001,-0.15,0,0.001,0.14,-0.001,-0.15,0.01,0.00,2
15,Entry long,2023-04-18 07:00,AUDUSD_HL_BASE,0.67382,1,0.67382,-0.001,-0.15,0,0.001,0.14,-0.001,-0.15,0.01,0.00,2
16,Exit long,2023-04-20 08:00,TP_OR_SL,0.6745,1,0.67206,0.002,0.36,0,0.002,0.36,-0.001,-0.14,0.01,0.00,1
16,Entry long,2023-04-20 07:00,AUDUSD_HL_BASE,0.67206,1,0.67206,0.002,0.36,0,0.002,0.36,-0.001,-0.14,0.01,0.00,1
17,Exit long,2023-05-02 08:00,TP_OR_SL,0.66867,1,0.67011,-0.001,-0.21,0,0,0.00,-0.001,-0.21,0.01,0.00,1
17,Entry long,2023-05-02 07:00,AUDUSD_HL_BODY_EXTREME,0.67011,1,0.67011,-0.001,-0.21,0,0,0.00,-0.001,-0.21,0.01,0.00,1
18,Exit long,2023-05-04 09:00,TP_OR_SL,0.66642,1,0.6679,-0.001,-0.22,0,0.0002,0.03,-0.001,-0.22,0.01,0.00,2
18,Entry long,2023-05-04 07:00,AUDUSD_HL_BASE,0.6679,1,0.6679,-0.001,-0.22,0,0.0002,0.03,-0.001,-0.22,0.01,0.00,2
19,Exit long,2023-05-15 10:00,TP_OR_SL,0.66789,1,0.66896,-0.001,-0.16,0,0.0003,0.04,-0.001,-0.16,0.01,0.00,3
19,Entry long,2023-05-15 07:00,AUDUSD_HL_BASE,0.66896,1,0.66896,-0.001,-0.16,0,0.0003,0.04,-0.001,-0.16,0.01,0.00,3
20,Exit long,2023-05-26 08:00,TP_OR_SL,0.65313,1,0.65414,-0.001,-0.15,0,0.0002,0.03,-0.001,-0.15,0.01,0.00,1
20,Entry long,2023-05-26 07:00,AUDUSD_HL_BASE,0.65414,1,0.65414,-0.001,-0.15,0,0.0002,0.03,-0.001,-0.15,0.01,0.00,1
