Trade number,Type,Date and time,Signal,Price JPY,Size (qty),Size (value),Net PnL JPY,Return %,Commission JPY,Favorable excursion JPY,Favorable excursion %,Adverse excursion JPY,Adverse excursion %,Cumulative PnL JPY,Cumulative PnL %,Duration (bars)
1,Exit long,2023-01-05 08:00,TP_OR_SL,98.844,1,98.334,0.51,0.52,0,0.51,0.52,-0.01,-0.01,0.51,0.01,1
1,Entry long,2023-01-05 07:00,CADJPY_1200_LONG,98.334,1,98.334,0.51,0.52,0,0.51,0.52,-0.01,-0.01,0.51,0.01,1
2,Exit long,2023-03-27 11:00,TIME_EXIT,96.083,1,96.046,0.04,0.04,0,0.1,0.11,-0.18,-0.19,0.55,0.01,3
2,Entry long,2023-03-27 08:00,CADJPY_1200_LONG,96.046,1,96.046,0.04,0.04,0,0.1,0.11,-0.18,-0.19,0.55,0.01,3
3,Exit long,2023-03-29 11:00,TIME_EXIT,97.748,1,97.538,0.21,0.22,0,0.24,0.24,-0.16,-0.17,0.76,0.01,3
3,Entry long,2023-03-29 08:00,CADJPY_1200_LONG,97.538,1,97.538,0.21,0.22,0,0.24,0.24,-0.16,-0.17,0.76,0.01,3
4,Exit long,2023-04-14 11:00,TIME_EXIT,99.974,1,99.711,0.26,0.26,0,0.32,0.32,-0.08,-0.09,1.02,0.01,3
4,Entry long,2023-04-14 08:00,CADJPY_1200_LONG,99.711,1,99.711,0.26,0.26,0,0.32,0.32,-0.08,-0.09,1.02,0.01,3
5,Exit long,2023-05-01 10:00,TP_OR_SL,101.28,1,100.904,0.38,0.37,0,0.38,0.37,-0.09,-0.09,1.4,0.01,2
5,Entry long,2023-05-01 08:00,CADJPY_1200_LONG,100.904,1,100.904,0.38,0.37,0,0.38,0.37,-0.09,-0.09,1.4,0.01,2
6,Exit long,2023-05-16 11:00,TIME_EXIT,101.533,1,101.44,0.09,0.09,0,0.25,0.25,-0.06,-0.06,1.49,0.01,3
6,Entry long,2023-05-16 08:00,CADJPY_1200_LONG,101.44,1,101.44,0.09,0.09,0,0.25,0.25,-0.06,-0.06,1.49,0.01,3
7,Exit long,2023-05-17 11:00,TP_OR_SL,102.164,1,101.812,0.35,0.35,0,0.35,0.35,-0.09,-0.09,1.84,0.02,3
7,Entry long,2023-05-17 08:00,CADJPY_1200_LONG,101.812,1,101.812,0.35,0.35,0,0.35,0.35,-0.09,-0.09,1.84,0.02,3
8,Exit long,2023-05-19 09:00,TP_OR_SL,102.68,1,102.854,-0.17,-0.17,0,0.06,0.06,-0.17,-0.17,1.67,0.02,1
8,Entry long,2023-05-19 08:00,CADJPY_1200_LONG,102.854,1,102.854,-0.17,-0.17,0,0.06,0.06,-0.17,-0.17,1.67,0.02,1
9,Exit long,2023-06-16 11:00,TP_OR_SL,107.393,1,106.912,0.48,0.45,0,0.48,0.45,-0.2,-0.19,2.15,0.02,3
9,Entry long,2023-06-16 08:00,CADJPY_1200_LONG,106.912,1,106.912,0.48,0.45,0,0.48,0.45,-0.2,-0.19,2.15,0.02,3
10,Exit long,2023-07-04 09:00,TP_OR_SL,109.167,1,109.286,-0.12,-0.11,0,0.04,0.03,-0.12,-0.11,2.03,0.02,1
10,Entry long,2023-07-04 08:00,CADJPY_1200_LONG,109.286,1,109.286,-0.12,-0.11,0,0.04,0.03,-0.12,-0.11,2.03,0.02,1
11,Exit long,2023-07-20 11:00,TIME_EXIT,106.486,1,106.35,0.14,0.13,0,0.22,0.21,-0.13,-0.12,2.17,0.02,3
11,Entry long,2023-07-20 08:00,CADJPY_1200_LONG,106.35,1,106.35,0.14,0.13,0,0.22,0.21,-0.13,-0.12,2.17,0.02,3
12,Exit long,2023-08-14 11:00,TP_OR_SL,107.867,1,108.005,-0.14,-0.13,0,0.04,0.03,-0.14,-0.13,2.03,0.02,3
12,Entry long,2023-08-14 08:00,CADJPY_1200_LONG,108.005,1,108.005,-0.14,-0.13,0,0.04,0.03,-0.14,-0.13,2.03,0.02,3
13,Exit long,2023-09-13 11:00,TP_OR_SL,109.061,1,108.783,0.28,0.26,0,0.28,0.26,-0.06,-0.06,2.31,0.02,3
13,Entry long,2023-09-13 08:00,CADJPY_1200_LONG,108.783,1,108.783,0.28,0.26,0,0.28,0.26,-0.06,-0.06,2.31,0.02,3
14,Exit long,2023-09-18 09:00,TP_OR_SL,109.322,1,109.428,-0.11,-0.10,0,0,0.00,-0.11,-0.10,2.2,0.02,1
14,Entry long,2023-09-18 08:00,CADJPY_1200_LONG,109.428,1,109.428,-0.11,-0.10,0,0,0.00,-0.11,-0.10,2.2,0.02,1
15,Exit long,2023-10-06 10:00,TP_OR_SL,108.791,1,108.952,-0.16,-0.15,0,0.16,0.15,-0.16,-0.15,2.04,0.02,2
15,Entry long,2023-10-06 08:00,CADJPY_1200_LONG,108.952,1,108.952,-0.16,-0.15,0,0.16,0.15,-0.16,-0.15,2.04,0.02,2
16,Exit long,2023-10-11 11:00,TP_OR_SL,109.439,1,109.566,-0.13,-0.12,0,0.19,0.18,-0.13,-0.12,1.91,0.02,3
16,Entry long,2023-10-11 08:00,CADJPY_1200_LONG,109.566,1,109.566,-0.13,-0.12,0,0.19,0.18,-0.13,-0.12,1.91,0.02,3
17,Exit long,2023-10-12 09:00,TP_OR_SL,109.751,1,109.885,-0.13,-0.12,0,0.02,0.02,-0.13,-0.12,1.78,0.02,1
17,Entry long,2023-10-12 08:00,CADJPY_1200_LONG,109.885,1,109.885,-0.13,-0.12,0,0.02,0.02,-0.13,-0.12,1.78,0.02,1
18,Exit long,2023-12-11 10:00,TIME_EXIT,107.944,1,107.838,0.11,0.10,0,0.2,0.18,-0.19,-0.18,1.88,0.02,3
18,Entry long,2023-12-11 07:00,CADJPY_1200_LONG,107.838,1,107.838,0.11,0.10,0,0.2,0.18,-0.19,-0.18,1.88,0.02,3
19,Exit long,2024-01-10 10:00,TIME_EXIT,108.827,1,108.568,0.26,0.24,0,0.33,0.30,-0.12,-0.11,2.14,0.02,3
19,Entry long,2024-01-10 07:00,CADJPY_1200_LONG,108.568,1,108.568,0.26,0.24,0,0.33,0.30,-0.12,-0.11,2.14,0.02,3
20,Exit long,2024-01-12 08:00,TP_OR_SL,108.522,1,108.696,-0.17,-0.16,0,0.1,0.09,-0.17,-0.16,1.97,0.02,1
20,Entry long,2024-01-12 07:00,CADJPY_1200_LONG,108.696,1,108.696,-0.17,-0.16,0,0.1,0.09,-0.17,-0.16,1.97,0.02,1
21,Exit long,2024-01-19 10:00,TIME_EXIT,110,1,109.954,0.05,0.04,0,0.25,0.23,-0.09,-0.08,2.01,0.02,3
21,Entry long,2024-01-19 07:00,CADJPY_1200_LONG,109.954,1,109.954,0.05,0.04,0,0.25,0.23,-0.09,-0.08,2.01,0.02,3
22,Exit long,2024-03-15 11:00,TP_OR_SL,110.261,1,109.984,0.28,0.25,0,0.28,0.25,-0.01,-0.01,2.29,0.02,3
22,Entry long,2024-03-15 08:00,CADJPY_1200_LONG,109.984,1,109.984,0.28,0.25,0,0.28,0.25,-0.01,-0.01,2.29,0.02,3
23,Exit long,2024-03-18 10:00,TP_OR_SL,110.109,1,110.233,-0.12,-0.11,0,0.04,0.03,-0.12,-0.11,2.17,0.02,2
23,Entry long,2024-03-18 08:00,CADJPY_1200_LONG,110.233,1,110.233,-0.12,-0.11,0,0.04,0.03,-0.12,-0.11,2.17,0.02,2
24,Exit long,2024-03-20 11:00,TIME_EXIT,111.816,1,111.715,0.1,0.09,0,0.1,0.09,-0.09,-0.09,2.27,0.02,3
24,Entry long,2024-03-20 08:00,CADJPY_1200_LONG,111.715,1,111.715,0.1,0.09,0,0.1,0.09,-0.09,-0.09,2.27,0.02,3
25,Exit long,2024-03-26 09:00,TP_OR_SL,111.63,1,111.73,-0.1,-0.09,0,0.001,0.00,-0.1,-0.09,2.17,0.02,1
