Trade number,Type,Date and time,Signal,Price AUD,Size (qty),Size (value),Net PnL AUD,Return %,Commission AUD,Favorable excursion AUD,Favorable excursion %,Adverse excursion AUD,Adverse excursion %,Cumulative PnL AUD,Cumulative PnL %,Duration (bars)
1,Exit long,2023-01-06 08:00,TP_OR_SL,1.55654,1,1.55952,-0.003,-0.19,0,0.001,0.07,-0.003,-0.19,-0.003,0.00,2
1,Entry long,2023-01-06 06:00,EURAUD_1100_LONG,1.55952,1,1.55952,-0.003,-0.19,0,0.001,0.07,-0.003,-0.19,-0.003,0.00,2
2,Exit long,2023-01-10 09:00,TIME_EXIT,1.55834,1,1.55934,-0.001,-0.06,0,0.003,0.18,-0.003,-0.17,-0.004,0.00,3
2,Entry long,2023-01-10 06:00,EURAUD_1100_LONG,1.55934,1,1.55934,-0.001,-0.06,0,0.003,0.18,-0.003,-0.17,-0.004,0.00,3
3,Exit long,2023-01-11 09:00,TIME_EXIT,1.56131,1,1.55928,0.002,0.13,0,0.002,0.14,-0.001,-0.08,-0.002,0.00,3
3,Entry long,2023-01-11 06:00,EURAUD_1100_LONG,1.55928,1,1.55928,0.002,0.13,0,0.002,0.14,-0.001,-0.08,-0.002,0.00,3
4,Exit long,2023-01-12 08:00,TP_OR_SL,1.55691,1,1.55918,-0.002,-0.15,0,0.004,0.27,-0.002,-0.15,-0.004,0.00,2
4,Entry long,2023-01-12 06:00,EURAUD_1100_LONG,1.55918,1,1.55918,-0.002,-0.15,0,0.004,0.27,-0.002,-0.15,-0.004,0.00,2
5,Exit long,2023-01-17 09:00,TIME_EXIT,1.55885,1,1.55837,0.0005,0.03,0,0.004,0.25,-0.001,-0.06,-0.004,0.00,3
5,Entry long,2023-01-17 06:00,EURAUD_1100_LONG,1.55837,1,1.55837,0.0005,0.03,0,0.004,0.25,-0.001,-0.06,-0.004,0.00,3
6,Exit long,2023-01-19 08:00,TP_OR_SL,1.56927,1,1.5724,-0.003,-0.20,0,0.001,0.05,-0.003,-0.20,-0.01,0.00,2
6,Entry long,2023-01-19 06:00,EURAUD_1100_LONG,1.5724,1,1.5724,-0.003,-0.20,0,0.001,0.05,-0.003,-0.20,-0.01,0.00,2
7,Exit long,2023-01-30 09:00,TIME_EXIT,1.53976,1,1.54018,-0.0004,-0.03,0,0.0003,0.02,-0.001,-0.09,-0.01,0.00,3
7,Entry long,2023-01-30 06:00,EURAUD_1100_LONG,1.54018,1,1.54018,-0.0004,-0.03,0,0.0003,0.02,-0.001,-0.09,-0.01,0.00,3
8,Exit long,2023-01-31 08:00,TP_OR_SL,1.54597,1,1.54856,-0.003,-0.17,0,0.0003,0.02,-0.003,-0.17,-0.01,0.00,2
8,Entry long,2023-01-31 06:00,EURAUD_1100_LONG,1.54856,1,1.54856,-0.003,-0.17,0,0.0003,0.02,-0.003,-0.17,-0.01,0.00,2
9,Exit long,2023-02-02 07:00,TP_OR_SL,1.54093,1,1.54328,-0.002,-0.15,0,0.0003,0.02,-0.002,-0.15,-0.01,0.00,1
9,Entry long,2023-02-02 06:00,EURAUD_1100_LONG,1.54328,1,1.54328,-0.002,-0.15,0,0.0003,0.02,-0.002,-0.15,-0.01,0.00,1
10,Exit long,2023-02-03 08:00,TP_OR_SL,1.55334,1,1.54876,0.005,0.30,0,0.005,0.30,-0.001,-0.10,-0.01,0.00,2
10,Entry long,2023-02-03 06:00,EURAUD_1100_LONG,1.54876,1,1.54876,0.005,0.30,0,0.005,0.30,-0.001,-0.10,-0.01,0.00,2
11,Exit long,2023-02-06 09:00,TIME_EXIT,1.56186,1,1.56008,0.002,0.11,0,0.003,0.20,-0.002,-0.10,-0.01,0.00,3
11,Entry long,2023-02-06 06:00,EURAUD_1100_LONG,1.56008,1,1.56008,0.002,0.11,0,0.003,0.20,-0.002,-0.10,-0.01,0.00,3
12,Exit long,2023-02-15 08:00,TP_OR_SL,1.55205,1,1.55468,-0.003,-0.17,0,0.001,0.03,-0.003,-0.17,-0.01,0.00,2
12,Entry long,2023-02-15 06:00,EURAUD_1100_LONG,1.55468,1,1.55468,-0.003,-0.17,0,0.001,0.03,-0.003,-0.17,-0.01,0.00,2
13,Exit long,2023-02-17 07:00,TP_OR_SL,1.5566,1,1.55892,-0.002,-0.15,0,0,0.00,-0.002,-0.15,-0.01,0.00,1
13,Entry long,2023-02-17 06:00,EURAUD_1100_LONG,1.55892,1,1.55892,-0.002,-0.15,0,0,0.00,-0.002,-0.15,-0.01,0.00,1
14,Exit long,2023-02-24 08:00,TP_OR_SL,1.56773,1,1.56358,0.004,0.27,0,0.004,0.27,-0.0002,-0.01,-0.01,0.00,2
14,Entry long,2023-02-24 06:00,EURAUD_1100_LONG,1.56358,1,1.56358,0.004,0.27,0,0.004,0.27,-0.0002,-0.01,-0.01,0.00,2
15,Exit long,2023-02-27 09:00,TP_OR_SL,1.57675,1,1.57267,0.004,0.26,0,0.004,0.26,-0.001,-0.05,-0.003,0.00,3
15,Entry long,2023-02-27 06:00,EURAUD_1100_LONG,1.57267,1,1.57267,0.004,0.26,0,0.004,0.26,-0.001,-0.05,-0.003,0.00,3
16,Exit long,2023-03-01 09:00,TP_OR_SL,1.58081,1,1.57522,0.01,0.35,0,0.01,0.35,-0.002,-0.10,0.003,0.00,3
16,Entry long,2023-03-01 06:00,EURAUD_1100_LONG,1.57522,1,1.57522,0.01,0.35,0,0.01,0.35,-0.002,-0.10,0.003,0.00,3
17,Exit long,2023-03-06 08:00,TP_OR_SL,1.58091,1,1.58322,-0.002,-0.15,0,0.0002,0.01,-0.002,-0.15,0.001,0.00,2
17,Entry long,2023-03-06 06:00,EURAUD_1100_LONG,1.58322,1,1.58322,-0.002,-0.15,0,0.0002,0.01,-0.002,-0.15,0.001,0.00,2
18,Exit long,2023-03-07 09:00,TIME_EXIT,1.60036,1,1.59942,0.001,0.06,0,0.002,0.13,-0.001,-0.05,0.002,0.00,3
18,Entry long,2023-03-07 06:00,EURAUD_1100_LONG,1.59942,1,1.59942,0.001,0.06,0,0.002,0.13,-0.001,-0.05,0.002,0.00,3
19,Exit long,2023-03-20 09:00,TP_OR_SL,1.59607,1,1.59916,-0.003,-0.19,0,0.001,0.08,-0.003,-0.19,-0.001,0.00,2
19,Entry long,2023-03-20 07:00,EURAUD_1100_LONG,1.59916,1,1.59916,-0.003,-0.19,0,0.001,0.08,-0.003,-0.19,-0.001,0.00,2
20,Exit long,2023-03-21 10:00,TP_OR_SL,1.61822,1,1.61289,0.01,0.33,0,0.01,0.33,-0.001,-0.06,0.004,0.00,3
20,Entry long,2023-03-21 07:00,EURAUD_1100_LONG,1.61289,1,1.61289,0.01,0.33,0,0.01,0.33,-0.001,-0.06,0.004,0.00,3
21,Exit long,2023-03-22 10:00,TIME_EXIT,1.61494,1,1.61482,0.0001,0.01,0,0.001,0.07,-0.002,-0.14,0.004,0.00,3
21,Entry long,2023-03-22 07:00,EURAUD_1100_LONG,1.61482,1,1.61482,0.0001,0.01,0,0.001,0.07,-0.002,-0.14,0.004,0.00,3
22,Exit long,2023-03-27 09:00,TP_OR_SL,1.62517,1,1.61996,0.01,0.32,0,0.01,0.32,-0.0004,-0.02,0.01,0.00,2
22,Entry long,2023-03-27 07:00,EURAUD_1100_LONG,1.61996,1,1.61996,0.01,0.32,0,0.01,0.32,-0.0004,-0.02,0.01,0.00,2
23,Exit long,2023-03-28 10:00,TP_OR_SL,1.6191,1,1.62132,-0.002,-0.14,0,0.002,0.14,-0.002,-0.14,0.01,0.00,3
23,Entry long,2023-03-28 07:00,EURAUD_1100_LONG,1.62132,1,1.62132,-0.002,-0.14,0,0.002,0.14,-0.002,-0.14,0.01,0.00,3
24,Exit long,2023-03-29 09:00,TP_OR_SL,1.62353,1,1.62589,-0.002,-0.15,0,0.001,0.04,-0.002,-0.15,0.005,0.00,2
24,Entry long,2023-03-29 07:00,EURAUD_1100_LONG,1.62589,1,1.62589,-0.002,-0.15,0,0.001,0.04,-0.002,-0.15,0.005,0.00,2
25,Exit long,2023-03-30 08:00,TP_OR_SL,1.62887,1,1.62432,0.005,0.28,0,0.005,0.28,-0.00002,0.00,0.01,0.00,1
25,Entry long,2023-03-30 07:00,EURAUD_1100_LONG,1.62432,1,1.62432,0.005,0.28,0,0.005,0.28,-0.00002,0.00,0.01,0.00,1
26,Exit long,2023-04-06 09:00,TP_OR_SL,1.63519,1,1.63054,0.005,0.29,0,0.005,0.29,-0.002,-0.10,0.01,0.00,2
26,Entry long,2023-04-06 07:00,EURAUD_1100_LONG,1.63054,1,1.63054,0.005,0.29,0,0.005,0.29,-0.002,-0.10,0.01,0.00,2
27,Exit long,2023-04-07 08:00,TP_OR_SL,1.63357,1,1.63531,-0.002,-0.11,0,0,0.00,-0.002,-0.11,0.01,0.00,1
