Trade number,Type,Date and time,Signal,Price JPY,Size (qty),Size (value),Net PnL JPY,Return %,Commission JPY,Favorable excursion JPY,Favorable excursion %,Adverse excursion JPY,Adverse excursion %,Cumulative PnL JPY,Cumulative PnL %,Duration (bars)
1,Exit long,2023-01-23 03:00,TP_OR_SL,141.505,1,141.81,-0.3,-0.22,0,0.27,0.19,-0.3,-0.22,-0.3,0.00,2
1,Entry long,2023-01-23 01:00,EURJPY_0600_LONG,141.81,1,141.81,-0.3,-0.22,0,0.27,0.19,-0.3,-0.22,-0.3,0.00,2
2,Exit long,2023-02-13 04:00,TP_OR_SL,141.637,1,141.138,0.5,0.35,0,0.5,0.35,-0.07,-0.05,0.19,0.00,3
2,Entry long,2023-02-13 01:00,EURJPY_0600_LONG,141.138,1,141.138,0.5,0.35,0,0.5,0.35,-0.07,-0.05,0.19,0.00,3
3,Exit long,2023-02-15 04:00,TIME_EXIT,143.045,1,142.753,0.29,0.20,0,0.41,0.29,-0.05,-0.04,0.49,0.00,3
3,Entry long,2023-02-15 01:00,EURJPY_0600_LONG,142.753,1,142.753,0.29,0.20,0,0.41,0.29,-0.05,-0.04,0.49,0.00,3
4,Exit long,2023-02-21 03:00,TP_OR_SL,143.844,1,143.54,0.3,0.21,0,0.3,0.21,-0.03,-0.02,0.79,0.01,2
4,Entry long,2023-02-21 01:00,EURJPY_0600_LONG,143.54,1,143.54,0.3,0.21,0,0.3,0.21,-0.03,-0.02,0.79,0.01,2
5,Exit long,2023-03-01 04:00,TIME_EXIT,144.57,1,144.602,-0.03,-0.02,0,0.19,0.13,-0.19,-0.13,0.76,0.01,3
5,Entry long,2023-03-01 01:00,EURJPY_0600_LONG,144.602,1,144.602,-0.03,-0.02,0,0.19,0.13,-0.19,-0.13,0.76,0.01,3
6,Exit long,2023-03-02 03:00,TP_OR_SL,145.284,1,145.48,-0.2,-0.13,0,0.09,0.06,-0.2,-0.13,0.56,0.01,2
6,Entry long,2023-03-02 01:00,EURJPY_0600_LONG,145.48,1,145.48,-0.2,-0.13,0,0.09,0.06,-0.2,-0.13,0.56,0.01,2
7,Exit long,2023-03-13 04:00,TP_OR_SL,143.818,1,144.254,-0.44,-0.30,0,0.14,0.09,-0.44,-0.30,0.13,0.00,2
7,Entry long,2023-03-13 02:00,EURJPY_0600_LONG,144.254,1,144.254,-0.44,-0.30,0,0.14,0.09,-0.44,-0.30,0.13,0.00,2
8,Exit long,2023-03-21 04:00,TP_OR_SL,141.74,1,141.03,0.71,0.50,0,0.71,0.50,-0.12,-0.09,0.84,0.01,2
8,Entry long,2023-03-21 02:00,EURJPY_0600_LONG,141.03,1,141.03,0.71,0.50,0,0.71,0.50,-0.12,-0.09,0.84,0.01,2
9,Exit long,2023-03-27 03:00,TP_OR_SL,140.919,1,141.288,-0.37,-0.26,0,0.26,0.18,-0.37,-0.26,0.47,0.00,1
9,Entry long,2023-03-27 02:00,EURJPY_0600_LONG,141.288,1,141.288,-0.37,-0.26,0,0.26,0.18,-0.37,-0.26,0.47,0.00,1
10,Exit long,2023-04-04 05:00,TP_OR_SL,145.253,1,144.778,0.48,0.33,0,0.48,0.33,-0.1,-0.07,0.94,0.01,3
10,Entry long,2023-04-04 02:00,EURJPY_0600_LONG,144.778,1,144.778,0.48,0.33,0,0.48,0.33,-0.1,-0.07,0.94,0.01,3
11,Exit long,2023-04-07 05:00,TP_OR_SL,143.728,1,143.939,-0.21,-0.15,0,0.06,0.04,-0.21,-0.15,0.73,0.01,3
11,Entry long,2023-04-07 02:00,EURJPY_0600_LONG,143.939,1,143.939,-0.21,-0.15,0,0.06,0.04,-0.21,-0.15,0.73,0.01,3
12,Exit long,2023-04-19 04:00,TP_OR_SL,147.8,1,147.484,0.32,0.21,0,0.32,0.21,-0.004,0.00,1.05,0.01,2
12,Entry long,2023-04-19 02:00,EURJPY_0600_LONG,147.484,1,147.484,0.32,0.21,0,0.32,0.21,-0.004,0.00,1.05,0.01,2
13,Exit long,2023-04-28 04:00,TP_OR_SL,149.013,1,149.462,-0.45,-0.30,0,0.06,0.04,-0.45,-0.30,0.6,0.01,2
13,Entry long,2023-04-28 02:00,EURJPY_0600_LONG,149.462,1,149.462,-0.45,-0.30,0,0.06,0.04,-0.45,-0.30,0.6,0.01,2
14,Exit long,2023-05-08 05:00,TIME_EXIT,149.014,1,148.911,0.1,0.07,0,0.36,0.24,-0.1,-0.07,0.7,0.01,3
14,Entry long,2023-05-08 02:00,EURJPY_0600_LONG,148.911,1,148.911,0.1,0.07,0,0.36,0.24,-0.1,-0.07,0.7,0.01,3
15,Exit long,2023-05-10 03:00,TP_OR_SL,148.35,1,148.516,-0.17,-0.11,0,0.15,0.10,-0.17,-0.11,0.54,0.01,1
15,Entry long,2023-05-10 02:00,EURJPY_0600_LONG,148.516,1,148.516,-0.17,-0.11,0,0.15,0.10,-0.17,-0.11,0.54,0.01,1
16,Exit long,2023-05-12 03:00,TP_OR_SL,147.101,1,147.32,-0.22,-0.15,0,0.15,0.10,-0.22,-0.15,0.32,0.00,1
