Trade number,Type,Date and time,Signal,Price USD,Size (qty),Size (value),Net PnL USD,Return %,Commission USD,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative PnL USD,Cumulative PnL %,Duration (bars)
1,Exit short,2023-01-06 08:00,A_LONDON_BO_SHORT_EXIT,1.05231,1,1.05073,-0.002,-0.15,0,0.002,0.23,-0.002,-0.15,-0.002,0.00,4
1,Entry short,2023-01-06 04:00,A_LONDON_BO_SHORT,1.05073,1,1.05073,-0.002,-0.15,0,0.002,0.23,-0.002,-0.15,-0.002,0.00,4
2,Exit long,2023-01-09 04:00,A_LONDON_BO_LONG_EXIT,1.06717,1,1.06903,-0.002,-0.17,0,0.0004,0.03,-0.002,-0.17,-0.003,0.00,1
2,Entry long,2023-01-09 03:00,A_LONDON_BO_LONG,1.06903,1,1.06903,-0.002,-0.17,0,0.0004,0.03,-0.002,-0.17,-0.003,0.00,1
3,Exit long,2023-01-23 03:00,A_LONDON_BO_LONG_EXIT,1.08977,1,1.09142,-0.002,-0.15,0,0.0001,0.01,-0.002,-0.15,-0.01,0.00,1
3,Entry long,2023-01-23 02:00,A_LONDON_BO_LONG,1.09142,1,1.09142,-0.002,-0.15,0,0.0001,0.01,-0.002,-0.15,-0.01,0.00,1
4,Exit long,2023-01-24 03:00,A_LONDON_BO_LONG_EXIT,1.08755,1,1.0888,-0.001,-0.11,0,0.001,0.09,-0.001,-0.11,-0.01,0.00,2
4,Entry long,2023-01-24 01:00,A_LONDON_BO_LONG,1.0888,1,1.0888,-0.001,-0.11,0,0.001,0.09,-0.001,-0.11,-0.01,0.00,2
5,Exit long,2023-01-25 02:00,A_LONDON_BO_LONG_EXIT,1.08936,1,1.09064,-0.001,-0.12,0,0.001,0.05,-0.001,-0.12,-0.01,0.00,1
5,Entry long,2023-01-25 01:00,A_LONDON_BO_LONG,1.09064,1,1.09064,-0.001,-0.12,0,0.001,0.05,-0.001,-0.12,-0.01,0.00,1
6,Exit short,2023-01-31 04:00,A_LONDON_BO_SHORT_EXIT,1.0818,1,1.08034,-0.001,-0.14,0,0.0001,0.01,-0.001,-0.14,-0.01,0.00,1
6,Entry short,2023-01-31 03:00,A_LONDON_BO_SHORT,1.08034,1,1.08034,-0.001,-0.14,0,0.0001,0.01,-0.001,-0.14,-0.01,0.00,1
7,Exit long,2023-02-01 08:00,A_LONDON_BO_LONG_EXIT,1.09047,1,1.08801,0.002,0.23,0,0.002,0.23,-0.001,-0.09,-0.01,0.00,6
7,Entry long,2023-02-01 02:00,A_LONDON_BO_LONG,1.08801,1,1.08801,0.002,0.23,0,0.002,0.23,-0.001,-0.09,-0.01,0.00,6
8,Exit short,2023-02-06 09:00,A_LONDON_BO_SHORT_EXIT,1.07447,1,1.078,0.004,0.33,0,0.004,0.33,-0.002,-0.14,-0.003,0.00,7
8,Entry short,2023-02-06 02:00,A_LONDON_BO_SHORT,1.078,1,1.078,0.004,0.33,0,0.004,0.33,-0.002,-0.14,-0.003,0.00,7
9,Exit short,2023-02-07 03:00,A_LONDON_BO_SHORT_EXIT,1.06985,1,1.07243,0.003,0.24,0,0.003,0.24,-0.0002,-0.02,-0.001,0.00,1
9,Entry short,2023-02-07 02:00,A_LONDON_BO_SHORT,1.07243,1,1.07243,0.003,0.24,0,0.003,0.24,-0.0002,-0.02,-0.001,0.00,1
10,Exit short,2023-02-10 10:00,A_LONDON_BO_SHORT_EXIT,1.06753,1,1.07066,0.003,0.29,0,0.003,0.29,-0.0005,-0.05,0.003,0.00,6
10,Entry short,2023-02-10 04:00,A_LONDON_BO_SHORT,1.07066,1,1.07066,0.003,0.29,0,0.003,0.29,-0.0005,-0.05,0.003,0.00,6
11,Exit long,2023-02-14 08:00,A_LONDON_BO_LONG_EXIT,1.07364,1,1.07486,-0.001,-0.11,0,0.002,0.18,-0.001,-0.11,0.001,0.00,5
11,Entry long,2023-02-14 03:00,A_LONDON_BO_LONG,1.07486,1,1.07486,-0.001,-0.11,0,0.002,0.18,-0.001,-0.11,0.001,0.00,5
12,Exit short,2023-02-22 09:00,A_LONDON_BO_SHORT_EXIT,1.06574,1,1.06455,-0.001,-0.11,0,0.002,0.20,-0.001,-0.11,0.0002,0.00,6
12,Entry short,2023-02-22 03:00,A_LONDON_BO_SHORT,1.06455,1,1.06455,-0.001,-0.11,0,0.002,0.20,-0.001,-0.11,0.0002,0.00,6
13,Exit short,2023-02-23 06:00,A_LONDON_BO_SHORT_EXIT,1.06034,1,1.05911,-0.001,-0.12,0,0.0004,0.03,-0.001,-0.12,-0.001,0.00,2
13,Entry short,2023-02-23 04:00,A_LONDON_BO_SHORT,1.05911,1,1.05911,-0.001,-0.12,0,0.0004,0.03,-0.001,-0.12,-0.001,0.00,2
14,Exit short,2023-02-24 07:00,A_LONDON_BO_SHORT_EXIT,1.05666,1,1.05894,0.002,0.22,0,0.002,0.22,-0.001,-0.06,0.001,0.00,5
14,Entry short,2023-02-24 02:00,A_LONDON_BO_SHORT,1.05894,1,1.05894,0.002,0.22,0,0.002,0.22,-0.001,-0.06,0.001,0.00,5
15,Exit long,2023-02-28 10:00,A_LONDON_BO_LONG_EXIT,1.0642,1,1.06159,0.003,0.25,0,0.003,0.25,-0.001,-0.11,0.004,0.00,7
15,Entry long,2023-02-28 03:00,A_LONDON_BO_LONG,1.06159,1,1.06159,0.003,0.25,0,0.003,0.25,-0.001,-0.11,0.004,0.00,7
16,Exit long,2023-03-01 02:00,A_LONDON_BO_LONG_EXIT,1.06338,1,1.06072,0.003,0.25,0,0.003,0.25,-0.0003,-0.03,0.01,0.00,1
16,Entry long,2023-03-01 01:00,A_LONDON_BO_LONG,1.06072,1,1.06072,0.003,0.25,0,0.003,0.25,-0.0003,-0.03,0.01,0.00,1
17,Exit long,2023-03-21 04:00,A_LONDON_BO_LONG_EXIT,1.07369,1,1.0696,0.004,0.38,0,0.004,0.38,-0.001,-0.07,0.01,0.00,22
17,Entry long,2023-03-20 06:00,A_LONDON_BO_LONG,1.0696,1,1.0696,0.004,0.38,0,0.004,0.38,-0.001,-0.07,0.01,0.00,22
18,Exit long,2023-03-21 06:00,A_LONDON_BO_LONG_EXIT,1.0756,1,1.07298,0.003,0.24,0,0.003,0.24,-0.0005,-0.05,0.01,0.00,2
18,Entry long,2023-03-21 04:00,A_LONDON_BO_LONG,1.07298,1,1.07298,0.003,0.24,0,0.003,0.24,-0.0005,-0.05,0.01,0.00,2
19,Exit long,2023-03-22 14:00,A_LONDON_BO_LONG_EXIT,1.08027,1,1.07803,0.002,0.21,0,0.002,0.21,-0.0005,-0.04,0.02,0.00,10
19,Entry long,2023-03-22 04:00,A_LONDON_BO_LONG,1.07803,1,1.07803,0.002,0.21,0,0.002,0.21,-0.0005,-0.04,0.02,0.00,10
20,Exit long,2023-03-23 04:00,A_LONDON_BO_LONG_EXIT,1.08985,1,1.09154,-0.002,-0.15,0,0.001,0.11,-0.002,-0.15,0.01,0.00,2
20,Entry long,2023-03-23 02:00,A_LONDON_BO_LONG,1.09154,1,1.09154,-0.002,-0.15,0,0.001,0.11,-0.002,-0.15,0.01,0.00,2
21,Exit long,2023-03-28 08:00,A_LONDON_BO_LONG_EXIT,1.08439,1,1.08206,0.002,0.22,0,0.002,0.22,-0.001,-0.10,0.02,0.00,5
21,Entry long,2023-03-28 03:00,A_LONDON_BO_LONG,1.08206,1,1.08206,0.002,0.22,0,0.002,0.22,-0.001,-0.10,0.02,0.00,5
22,Exit long,2023-03-29 08:00,A_LONDON_BO_LONG_EXIT,1.08475,1,1.08598,-0.001,-0.11,0,0.001,0.11,-0.001,-0.11,0.01,0.00,3
22,Entry long,2023-03-29 05:00,A_LONDON_BO_LONG,1.08598,1,1.08598,-0.001,-0.11,0,0.001,0.11,-0.001,-0.11,0.01,0.00,3
23,Exit long,2023-04-04 07:00,A_LONDON_BO_LONG_EXIT,1.09103,1,1.09252,-0.001,-0.14,0,0.001,0.10,-0.001,-0.14,0.01,0.00,4
23,Entry long,2023-04-04 03:00,A_LONDON_BO_LONG,1.09252,1,1.09252,-0.001,-0.14,0,0.001,0.10,-0.001,-0.14,0.01,0.00,4
24,Exit long,2023-04-13 08:00,A_LONDON_BO_LONG_EXIT,1.10408,1,1.10146,0.003,0.24,0,0.003,0.24,-0.001,-0.06,0.02,0.00,4
24,Entry long,2023-04-13 04:00,A_LONDON_BO_LONG,1.10146,1,1.10146,0.003,0.24,0,0.003,0.24,-0.001,-0.06,0.02,0.00,4
25,Exit short,2023-04-19 05:00,A_LONDON_BO_SHORT_EXIT,1.09327,1,1.09556,0.002,0.21,0,0.002,0.21,-0.001,-0.07,0.02,0.00,1
25,Entry short,2023-04-19 04:00,A_LONDON_BO_SHORT,1.09556,1,1.09556,0.002,0.21,0,0.002,0.21,-0.001,-0.07,0.02,0.00,1
26,Exit long,2023-04-20 07:00,A_LONDON_BO_LONG_EXIT,1.09582,1,1.09712,-0.001,-0.12,0,0.0004,0.03,-0.001,-0.12,0.02,0.00,1
26,Entry long,2023-04-20 06:00,A_LONDON_BO_LONG,1.09712,1,1.09712,-0.001,-0.12,0,0.0004,0.03,-0.001,-0.12,0.02,0.00,1
27,Exit short,2023-04-21 06:00,A_LONDON_BO_SHORT_EXIT,1.09671,1,1.09548,-0.001,-0.11,0,0.001,0.05,-0.001,-0.11,0.02,0.00,1
27,Entry short,2023-04-21 05:00,A_LONDON_BO_SHORT,1.09548,1,1.09548,-0.001,-0.11,0,0.001,0.05,-0.001,-0.11,0.02,0.00,1
28,Exit long,2023-04-24 10:00,A_LONDON_BO_LONG_EXIT,1.10348,1,1.10088,0.003,0.24,0,0.003,0.24,-0.001,-0.09,0.02,0.00,6
28,Entry long,2023-04-24 04:00,A_LONDON_BO_LONG,1.10088,1,1.10088,0.003,0.24,0,0.003,0.24,-0.001,-0.09,0.02,0.00,6
29,Exit short,2023-04-28 09:00,A_LONDON_BO_SHORT_EXIT,1.10083,1,1.09913,-0.002,-0.15,0,0.003,0.26,-0.002,-0.15,0.02,0.00,5
