Trade number,Type,Date and time,Signal,Price USD,Size (qty),Size (value),Net PnL USD,Return %,Commission USD,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative PnL USD,Cumulative PnL %,Duration (bars)
1,Exit long,2025-01-06 08:30,TP_OR_SL,1.25205,1,1.2537,-0.002,-0.13,0,0.001,0.11,-0.002,-0.13,-0.002,0.00,5
1,Entry long,2025-01-06 06:00,GBPUSD_1100_LONG,1.2537,1,1.2537,-0.002,-0.13,0,0.001,0.11,-0.002,-0.13,-0.002,0.00,5
2,Exit short,2025-01-08 06:30,TP_OR_SL,1.23446,1,1.23745,0.003,0.24,0,0.003,0.24,-0.001,-0.04,0.001,0.00,1
2,Entry short,2025-01-08 06:00,GBPUSD_1100_SHORT,1.23745,1,1.23745,0.003,0.24,0,0.003,0.24,-0.001,-0.04,0.001,0.00,1
3,Exit long,2025-01-27 09:00,TIME_EXIT,1.25036,1,1.2508,-0.0004,-0.04,0,0.002,0.12,-0.001,-0.11,0.001,0.00,6
3,Entry long,2025-01-27 06:00,GBPUSD_1100_LONG,1.2508,1,1.2508,-0.0004,-0.04,0,0.002,0.12,-0.001,-0.11,0.001,0.00,6
4,Exit long,2025-02-05 07:00,TP_OR_SL,1.2526,1,1.25405,-0.001,-0.12,0,0.0005,0.04,-0.001,-0.12,-0.001,0.00,3
4,Entry long,2025-02-05 05:30,GBPUSD_1030_LONG,1.25405,1,1.25405,-0.001,-0.12,0,0.0005,0.04,-0.001,-0.12,-0.001,0.00,3
5,Exit long,2025-03-03 07:00,TP_OR_SL,1.26707,1,1.26468,0.002,0.19,0,0.002,0.19,-0.001,-0.04,0.002,0.00,3
5,Entry long,2025-03-03 05:30,GBPUSD_1030_LONG,1.26468,1,1.26468,0.002,0.19,0,0.002,0.19,-0.001,-0.04,0.002,0.00,3
6,Exit long,2025-03-03 07:00,TP_OR_SL,1.26744,1,1.26503,0.002,0.19,0,0.002,0.19,-0.0001,0.00,0.004,0.00,2
6,Entry long,2025-03-03 06:00,GBPUSD_1100_LONG,1.26503,1,1.26503,0.002,0.19,0,0.002,0.19,-0.0001,0.00,0.004,0.00,2
7,Exit long,2025-03-12 07:30,TP_OR_SL,1.29451,1,1.29564,-0.001,-0.09,0,0.001,0.04,-0.001,-0.09,0.003,0.00,1
7,Entry long,2025-03-12 07:00,GBPUSD_1100_LONG,1.29564,1,1.29564,-0.001,-0.09,0,0.001,0.04,-0.001,-0.09,0.003,0.00,1
8,Exit long,2025-03-17 08:30,TP_OR_SL,1.29623,1,1.29717,-0.001,-0.07,0,0.001,0.05,-0.001,-0.07,0.002,0.00,4
8,Entry long,2025-03-17 06:30,GBPUSD_1030_LONG,1.29717,1,1.29717,-0.001,-0.07,0,0.001,0.05,-0.001,-0.07,0.002,0.00,4
9,Exit long,2025-03-25 07:30,TP_OR_SL,1.29435,1,1.29535,-0.001,-0.08,0,0.0005,0.03,-0.001,-0.08,0.001,0.00,1
