Trade number,Type,Date and time,Signal,Price JPY,Size (qty),Size (value),Net PnL JPY,Return %,Commission JPY,Favorable excursion JPY,Favorable excursion %,Adverse excursion JPY,Adverse excursion %,Cumulative PnL JPY,Cumulative PnL %,Duration (bars)
1,Exit long,2023-01-17 20:00,TP_OR_SL,82.87,1,82.515,0.36,0.43,0,0.36,0.43,-0.03,-0.03,0.36,0.00,2
1,Entry long,2023-01-17 18:00,NZDJPY_2300_LONG,82.515,1,82.515,0.36,0.43,0,0.36,0.43,-0.03,-0.03,0.36,0.00,2
2,Exit long,2023-02-20 19:00,TP_OR_SL,83.946,1,84.055,-0.11,-0.13,0,0.01,0.01,-0.11,-0.13,0.25,0.00,1
2,Entry long,2023-02-20 18:00,NZDJPY_2300_LONG,84.055,1,84.055,-0.11,-0.13,0,0.01,0.01,-0.11,-0.13,0.25,0.00,1
3,Exit long,2023-02-28 19:00,TP_OR_SL,84.21,1,84.348,-0.14,-0.16,0,0.01,0.01,-0.14,-0.16,0.11,0.00,1
3,Entry long,2023-02-28 18:00,NZDJPY_2300_LONG,84.348,1,84.348,-0.14,-0.16,0,0.01,0.01,-0.14,-0.16,0.11,0.00,1
4,Exit long,2023-03-28 21:00,TP_OR_SL,82.292,1,81.952,0.34,0.41,0,0.34,0.41,-0.02,-0.03,0.45,0.00,2
4,Entry long,2023-03-28 19:00,NZDJPY_2300_LONG,81.952,1,81.952,0.34,0.41,0,0.34,0.41,-0.02,-0.03,0.45,0.00,2
5,Exit long,2023-03-30 22:00,TIME_EXIT,83.583,1,83.508,0.08,0.09,0,0.32,0.38,-0.02,-0.03,0.52,0.01,3
5,Entry long,2023-03-30 19:00,NZDJPY_2300_LONG,83.508,1,83.508,0.08,0.09,0,0.32,0.38,-0.02,-0.03,0.52,0.01,3
6,Exit long,2023-05-16 22:00,TIME_EXIT,85.332,1,85.08,0.25,0.30,0,0.26,0.31,-0.05,-0.06,0.78,0.01,3
6,Entry long,2023-05-16 19:00,NZDJPY_2300_LONG,85.08,1,85.08,0.25,0.30,0,0.26,0.31,-0.05,-0.06,0.78,0.01,3
7,Exit long,2023-06-04 20:00,TP_OR_SL,84.795,1,84.926,-0.13,-0.15,0,0.002,0.00,-0.13,-0.15,0.64,0.01,1
7,Entry long,2023-06-04 19:00,NZDJPY_2300_LONG,84.926,1,84.926,-0.13,-0.15,0,0.002,0.00,-0.13,-0.15,0.64,0.01,1
8,Exit long,2023-08-07 22:00,TIME_EXIT,87.23,1,87.044,0.19,0.21,0,0.27,0.31,-0.08,-0.10,0.83,0.01,3
8,Entry long,2023-08-07 19:00,NZDJPY_2300_LONG,87.044,1,87.044,0.19,0.21,0,0.27,0.31,-0.08,-0.10,0.83,0.01,3
9,Exit long,2023-08-09 22:00,TIME_EXIT,87.204,1,87.105,0.1,0.11,0,0.17,0.20,-0.1,-0.11,0.93,0.01,3
9,Entry long,2023-08-09 19:00,NZDJPY_2300_LONG,87.105,1,87.105,0.1,0.11,0,0.17,0.20,-0.1,-0.11,0.93,0.01,3
10,Exit long,2023-09-12 22:00,TP_OR_SL,86.85,1,86.958,-0.11,-0.12,0,0.18,0.21,-0.11,-0.12,0.82,0.01,3
10,Entry long,2023-09-12 19:00,NZDJPY_2300_LONG,86.958,1,86.958,-0.11,-0.12,0,0.18,0.21,-0.11,-0.12,0.82,0.01,3
11,Exit long,2023-10-09 22:00,TIME_EXIT,89.486,1,89.462,0.02,0.03,0,0.24,0.27,-0.03,-0.03,0.85,0.01,3
11,Entry long,2023-10-09 19:00,NZDJPY_2300_LONG,89.462,1,89.462,0.02,0.03,0,0.24,0.27,-0.03,-0.03,0.85,0.01,3
12,Exit long,2023-10-23 21:00,TP_OR_SL,87.513,1,87.634,-0.12,-0.14,0,0.04,0.05,-0.12,-0.14,0.72,0.01,2
12,Entry long,2023-10-23 19:00,NZDJPY_2300_LONG,87.634,1,87.634,-0.12,-0.14,0,0.04,0.05,-0.12,-0.14,0.72,0.01,2
13,Exit long,2023-10-26 21:00,TP_OR_SL,87.489,1,87.634,-0.14,-0.17,0,0.05,0.06,-0.14,-0.17,0.58,0.01,2
13,Entry long,2023-10-26 19:00,NZDJPY_2300_LONG,87.634,1,87.634,-0.14,-0.17,0,0.05,0.06,-0.14,-0.17,0.58,0.01,2
14,Exit long,2023-11-01 22:00,TIME_EXIT,88.54,1,88.528,0.01,0.01,0,0.09,0.10,-0.08,-0.09,0.59,0.01,3
14,Entry long,2023-11-01 19:00,NZDJPY_2300_LONG,88.528,1,88.528,0.01,0.01,0,0.09,0.10,-0.08,-0.09,0.59,0.01,3
15,Exit long,2023-11-05 21:00,TIME_EXIT,89.612,1,89.608,0.004,0.00,0,0.05,0.05,-0.11,-0.12,0.6,0.01,3
15,Entry long,2023-11-05 18:00,NZDJPY_2300_LONG,89.608,1,89.608,0.004,0.00,0,0.05,0.05,-0.11,-0.12,0.6,0.01,3
16,Exit long,2023-12-26 21:00,TIME_EXIT,90.24,1,90.195,0.05,0.05,0,0.13,0.15,-0.02,-0.02,0.64,0.01,3
16,Entry long,2023-12-26 18:00,NZDJPY_2300_LONG,90.195,1,90.195,0.05,0.05,0,0.13,0.15,-0.02,-0.02,0.64,0.01,3
17,Exit long,2024-02-08 21:00,TIME_EXIT,91.465,1,91.248,0.22,0.24,0,0.23,0.25,-0.1,-0.11,0.86,0.01,3
17,Entry long,2024-02-08 18:00,NZDJPY_2300_LONG,91.248,1,91.248,0.22,0.24,0,0.23,0.25,-0.1,-0.11,0.86,0.01,3
18,Exit long,2024-02-14 19:00,TP_OR_SL,91.584,1,91.682,-0.1,-0.11,0,0.02,0.02,-0.1,-0.11,0.76,0.01,1
18,Entry long,2024-02-14 18:00,NZDJPY_2300_LONG,91.682,1,91.682,-0.1,-0.11,0,0.02,0.02,-0.1,-0.11,0.76,0.01,1
19,Exit long,2024-02-18 20:00,TP_OR_SL,91.998,1,92.112,-0.11,-0.12,0,0.03,0.03,-0.11,-0.12,0.65,0.01,2
19,Entry long,2024-02-18 18:00,NZDJPY_2300_LONG,92.112,1,92.112,-0.11,-0.12,0,0.03,0.03,-0.11,-0.12,0.65,0.01,2
20,Exit long,2024-05-06 22:00,TIME_EXIT,92.846,1,92.682,0.16,0.18,0,0.18,0.20,-0.04,-0.05,0.81,0.01,3
20,Entry long,2024-05-06 19:00,NZDJPY_2300_LONG,92.682,1,92.682,0.16,0.18,0,0.18,0.20,-0.04,-0.05,0.81,0.01,3
21,Exit long,2024-05-14 21:00,TP_OR_SL,94.48,1,94.575,-0.09,-0.10,0,0.13,0.13,-0.09,-0.10,0.71,0.01,2
21,Entry long,2024-05-14 19:00,NZDJPY_2300_LONG,94.575,1,94.575,-0.09,-0.10,0,0.13,0.13,-0.09,-0.10,0.71,0.01,2
22,Exit long,2024-05-20 22:00,TP_OR_SL,95.407,1,95.512,-0.1,-0.11,0,0.08,0.08,-0.1,-0.11,0.61,0.01,3
22,Entry long,2024-05-20 19:00,NZDJPY_2300_LONG,95.512,1,95.512,-0.1,-0.11,0,0.08,0.08,-0.1,-0.11,0.61,0.01,3
23,Exit long,2024-08-13 21:00,TP_OR_SL,89.142,1,89.324,-0.18,-0.20,0,0.18,0.20,-0.18,-0.20,0.43,0.00,2
23,Entry long,2024-08-13 19:00,NZDJPY_2300_LONG,89.324,1,89.324,-0.18,-0.20,0,0.18,0.20,-0.18,-0.20,0.43,0.00,2
24,Exit long,2024-09-18 21:00,TP_OR_SL,89.056,1,88.616,0.44,0.50,0,0.44,0.50,0,0.00,0.87,0.01,2
24,Entry long,2024-09-18 19:00,NZDJPY_2300_LONG,88.616,1,88.616,0.44,0.50,0,0.44,0.50,0,0.00,0.87,0.01,2
25,Exit long,2024-09-26 21:00,TP_OR_SL,91.665,1,91.846,-0.18,-0.20,0,0.15,0.16,-0.18,-0.20,0.69,0.01,2
25,Entry long,2024-09-26 19:00,NZDJPY_2300_LONG,91.846,1,91.846,-0.18,-0.20,0,0.15,0.16,-0.18,-0.20,0.69,0.01,2
26,Exit long,2024-10-22 21:00,TP_OR_SL,91.583,1,91.348,0.24,0.26,0,0.24,0.26,-0.04,-0.04,0.92,0.01,2
26,Entry long,2024-10-22 19:00,NZDJPY_2300_LONG,91.348,1,91.348,0.24,0.26,0,0.24,0.26,-0.04,-0.04,0.92,0.01,2
27,Exit long,2024-11-07 21:00,TP_OR_SL,92.072,1,92.237,-0.16,-0.18,0,0.05,0.06,-0.16,-0.18,0.76,0.01,3
27,Entry long,2024-11-07 18:00,NZDJPY_2300_LONG,92.237,1,92.237,-0.16,-0.18,0,0.05,0.06,-0.16,-0.18,0.76,0.01,3
28,Exit long,2024-11-19 21:00,TIME_EXIT,91.547,1,91.58,-0.03,-0.04,0,0.11,0.11,-0.14,-0.15,0.72,0.01,3
28,Entry long,2024-11-19 18:00,NZDJPY_2300_LONG,91.58,1,91.58,-0.03,-0.04,0,0.11,0.11,-0.14,-0.15,0.72,0.01,3
29,Exit long,2024-12-16 20:00,TP_OR_SL,89.113,1,89.248,-0.13,-0.15,0,0.06,0.06,-0.13,-0.15,0.59,0.01,2
29,Entry long,2024-12-16 18:00,NZDJPY_2300_LONG,89.248,1,89.248,-0.13,-0.15,0,0.06,0.06,-0.13,-0.15,0.59,0.01,2
30,Exit long,2025-01-05 19:00,TP_OR_SL,88.743,1,88.474,0.27,0.30,0,0.27,0.30,-0.01,-0.02,0.86,0.01,1
30,Entry long,2025-01-05 18:00,NZDJPY_2300_LONG,88.474,1,88.474,0.27,0.30,0,0.27,0.30,-0.01,-0.02,0.86,0.01,1
31,Exit long,2025-02-11 20:00,TP_OR_SL,86.711,1,86.438,0.27,0.32,0,0.27,0.32,-0.04,-0.05,1.13,0.01,2
31,Entry long,2025-02-11 18:00,NZDJPY_2300_LONG,86.438,1,86.438,0.27,0.32,0,0.27,0.32,-0.04,-0.05,1.13,0.01,2
32,Exit long,2025-06-02 20:00,TP_OR_SL,86.407,1,86.142,0.27,0.31,0,0.27,0.31,-0.002,0.00,1.4,0.01,1
32,Entry long,2025-06-02 19:00,NZDJPY_2300_LONG,86.142,1,86.142,0.27,0.31,0,0.27,0.31,-0.002,0.00,1.4,0.01,1
33,Exit long,2025-06-23 21:00,TP_OR_SL,87.283,1,87.456,-0.17,-0.20,0,0.03,0.03,-0.17,-0.20,1.22,0.01,2
33,Entry long,2025-06-23 19:00,NZDJPY_2300_LONG,87.456,1,87.456,-0.17,-0.20,0,0.03,0.03,-0.17,-0.20,1.22,0.01,2
34,Exit long,2025-06-26 22:00,TIME_EXIT,87.634,1,87.661,-0.03,-0.03,0,0.15,0.17,-0.13,-0.14,1.2,0.01,3
34,Entry long,2025-06-26 19:00,NZDJPY_2300_LONG,87.661,1,87.661,-0.03,-0.03,0,0.15,0.17,-0.13,-0.14,1.2,0.01,3
35,Exit long,2025-07-08 22:00,TP_OR_SL,88.266,1,88.016,0.25,0.28,0,0.25,0.28,-0.11,-0.12,1.45,0.01,3
35,Entry long,2025-07-08 19:00,NZDJPY_2300_LONG,88.016,1,88.016,0.25,0.28,0,0.25,0.28,-0.11,-0.12,1.45,0.01,3
36,Exit long,2025-10-05 22:00,TP_OR_SL,87.458,1,87.116,0.34,0.39,0,0.34,0.39,-0.08,-0.09,1.79,0.02,3
36,Entry long,2025-10-05 19:00,NZDJPY_2300_LONG,87.116,1,87.116,0.34,0.39,0,0.34,0.39,-0.08,-0.09,1.79,0.02,3
37,Exit long,2025-11-19 21:00,TIME_EXIT,88.186,1,88.156,0.03,0.03,0,0.1,0.11,-0.14,-0.16,1.82,0.02,3
37,Entry long,2025-11-19 18:00,NZDJPY_2300_LONG,88.156,1,88.156,0.03,0.03,0,0.1,0.11,-0.14,-0.16,1.82,0.02,3
38,Exit long,2025-12-25 20:00,TP_OR_SL,91.322,1,91.1,0.22,0.24,0,0.22,0.24,-0.01,-0.01,2.04,0.02,2
38,Entry long,2025-12-25 18:00,NZDJPY_2300_LONG,91.1,1,91.1,0.22,0.24,0,0.22,0.24,-0.01,-0.01,2.04,0.02,2
39,Exit long,2026-02-02 21:00,TIME_EXIT,93.482,1,93.47,0.01,0.01,0,0.21,0.23,-0.07,-0.08,2.05,0.02,3
39,Entry long,2026-02-02 18:00,NZDJPY_2300_LONG,93.47,1,93.47,0.01,0.01,0,0.21,0.23,-0.07,-0.08,2.05,0.02,3
40,Exit long,2026-02-19 19:00,TP_OR_SL,92.509,1,92.659,-0.15,-0.16,0,0.01,0.01,-0.15,-0.16,1.9,0.02,1
