Trade number,Type,Date and time,Signal,Price USD,Size (qty),Size (value),Net PnL USD,Return %,Commission USD,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative PnL USD,Cumulative PnL %,Duration (bars)
1,Exit long,2023-01-18 09:00,TP_OR_SL,0.65229,1,0.64872,0.004,0.55,0,0.004,0.55,-0.001,-0.16,0.004,0.00,3
1,Entry long,2023-01-18 06:00,NZDUSD_1100_LONG,0.64872,1,0.64872,0.004,0.55,0,0.004,0.55,-0.001,-0.16,0.004,0.00,3
2,Exit long,2023-02-09 08:00,TP_OR_SL,0.63877,1,0.63631,0.002,0.39,0,0.002,0.39,-0.0002,-0.03,0.01,0.00,2
2,Entry long,2023-02-09 06:00,NZDUSD_1100_LONG,0.63631,1,0.63631,0.002,0.39,0,0.002,0.39,-0.0002,-0.03,0.01,0.00,2
3,Exit long,2023-03-01 08:00,TP_OR_SL,0.62535,1,0.62678,-0.001,-0.23,0,0.001,0.13,-0.001,-0.23,0.005,0.00,2
3,Entry long,2023-03-01 06:00,NZDUSD_1100_LONG,0.62678,1,0.62678,-0.001,-0.23,0,0.001,0.13,-0.001,-0.23,0.005,0.00,2
4,Exit long,2023-03-14 08:00,TP_OR_SL,0.62105,1,0.62254,-0.001,-0.24,0,0.002,0.31,-0.001,-0.24,0.003,0.00,1
4,Entry long,2023-03-14 07:00,NZDUSD_1100_LONG,0.62254,1,0.62254,-0.001,-0.24,0,0.002,0.31,-0.001,-0.24,0.003,0.00,1
5,Exit long,2023-03-28 10:00,TIME_EXIT,0.6241,1,0.62337,0.001,0.12,0,0.001,0.20,-0.001,-0.15,0.004,0.00,3
5,Entry long,2023-03-28 07:00,NZDUSD_1100_LONG,0.62337,1,0.62337,0.001,0.12,0,0.001,0.20,-0.001,-0.15,0.004,0.00,3
6,Exit long,2023-04-13 08:00,TP_OR_SL,0.62681,1,0.62459,0.002,0.36,0,0.002,0.36,-0.0002,-0.04,0.01,0.00,1
6,Entry long,2023-04-13 07:00,NZDUSD_1100_LONG,0.62459,1,0.62459,0.002,0.36,0,0.002,0.36,-0.0002,-0.04,0.01,0.00,1
7,Exit long,2023-05-02 08:00,TP_OR_SL,0.62034,1,0.62146,-0.001,-0.18,0,0,0.00,-0.001,-0.18,0.005,0.00,1
7,Entry long,2023-05-02 07:00,NZDUSD_1100_LONG,0.62146,1,0.62146,-0.001,-0.18,0,0,0.00,-0.001,-0.18,0.005,0.00,1
8,Exit long,2023-05-04 09:00,TP_OR_SL,0.62566,1,0.62696,-0.001,-0.21,0,0.0003,0.04,-0.001,-0.21,0.004,0.00,2
8,Entry long,2023-05-04 07:00,NZDUSD_1100_LONG,0.62696,1,0.62696,-0.001,-0.21,0,0.0003,0.04,-0.001,-0.21,0.004,0.00,2
9,Exit long,2023-05-08 10:00,TIME_EXIT,0.6352,1,0.63432,0.001,0.14,0,0.002,0.26,-0.0002,-0.03,0.005,0.00,3
9,Entry long,2023-05-08 07:00,NZDUSD_1100_LONG,0.63432,1,0.63432,0.001,0.14,0,0.002,0.26,-0.0002,-0.03,0.005,0.00,3
10,Exit long,2023-05-17 10:00,TP_OR_SL,0.62448,1,0.6256,-0.001,-0.18,0,0.002,0.27,-0.001,-0.18,0.003,0.00,3
10,Entry long,2023-05-17 07:00,NZDUSD_1100_LONG,0.6256,1,0.6256,-0.001,-0.18,0,0.002,0.27,-0.001,-0.18,0.003,0.00,3
11,Exit long,2023-05-19 10:00,TIME_EXIT,0.62772,1,0.62794,-0.0002,-0.04,0,0.001,0.18,-0.001,-0.11,0.003,0.00,3
11,Entry long,2023-05-19 07:00,NZDUSD_1100_LONG,0.62794,1,0.62794,-0.0002,-0.04,0,0.001,0.18,-0.001,-0.11,0.003,0.00,3
12,Exit long,2023-06-09 09:00,TP_OR_SL,0.61362,1,0.61158,0.002,0.33,0,0.002,0.33,-0.0003,-0.06,0.01,0.00,2
12,Entry long,2023-06-09 07:00,NZDUSD_1100_LONG,0.61158,1,0.61158,0.002,0.33,0,0.002,0.33,-0.0003,-0.06,0.01,0.00,2
13,Exit long,2023-07-06 08:00,TP_OR_SL,0.62055,1,0.62182,-0.001,-0.20,0,0.0001,0.02,-0.001,-0.20,0.004,0.00,1
13,Entry long,2023-07-06 07:00,NZDUSD_1100_LONG,0.62182,1,0.62182,-0.001,-0.20,0,0.0001,0.02,-0.001,-0.20,0.004,0.00,1
14,Exit long,2023-07-13 09:00,TP_OR_SL,0.63858,1,0.63568,0.003,0.46,0,0.003,0.46,-0.001,-0.21,0.01,0.00,2
14,Entry long,2023-07-13 07:00,NZDUSD_1100_LONG,0.63568,1,0.63568,0.003,0.46,0,0.003,0.46,-0.001,-0.21,0.01,0.00,2
15,Exit long,2023-08-30 08:00,TP_OR_SL,0.598,1,0.59578,0.002,0.37,0,0.002,0.37,-0.0001,-0.02,0.01,0.00,1
15,Entry long,2023-08-30 07:00,NZDUSD_1100_LONG,0.59578,1,0.59578,0.002,0.37,0,0.002,0.37,-0.0001,-0.02,0.01,0.00,1
16,Exit long,2023-09-01 08:00,TP_OR_SL,0.59942,1,0.59698,0.002,0.41,0,0.002,0.41,-0.0003,-0.05,0.01,0.00,1
16,Entry long,2023-09-01 07:00,NZDUSD_1100_LONG,0.59698,1,0.59698,0.002,0.41,0,0.002,0.41,-0.0003,-0.05,0.01,0.00,1
17,Exit long,2023-09-14 08:00,TP_OR_SL,0.59178,1,0.59284,-0.001,-0.18,0,0.001,0.10,-0.001,-0.18,0.01,0.00,1
17,Entry long,2023-09-14 07:00,NZDUSD_1100_LONG,0.59284,1,0.59284,-0.001,-0.18,0,0.001,0.10,-0.001,-0.18,0.01,0.00,1
18,Exit long,2023-09-19 09:00,TP_OR_SL,0.59341,1,0.59424,-0.001,-0.14,0,0.001,0.09,-0.001,-0.14,0.01,0.00,2
