Trade number,Type,Date and time,Signal,Price CAD,Size (qty),Size (value),Net PnL CAD,Return %,Commission CAD,Favorable excursion CAD,Favorable excursion %,Adverse excursion CAD,Adverse excursion %,Cumulative PnL CAD,Cumulative PnL %,Duration (bars)
1,Exit long,2023-01-10 09:00,TIME_EXIT,1.34044,1,1.33966,0.001,0.06,0,0.003,0.24,-0.001,-0.11,0.001,0.00,3
1,Entry long,2023-01-10 06:00,USDCAD_1100_LONG_PEN_EXTREME,1.33966,1,1.33966,0.001,0.06,0,0.003,0.24,-0.001,-0.11,0.001,0.00,3
2,Exit long,2023-01-13 08:00,TP_OR_SL,1.34258,1,1.33798,0.005,0.34,0,0.005,0.34,-0.001,-0.06,0.01,0.00,2
2,Entry long,2023-01-13 06:00,USDCAD_1100_LONG_PEN_EXTREME,1.33798,1,1.33798,0.005,0.34,0,0.005,0.34,-0.001,-0.06,0.01,0.00,2
3,Exit long,2023-01-30 09:00,TIME_EXIT,1.33504,1,1.33293,0.002,0.16,0,0.003,0.20,-0.001,-0.06,0.01,0.00,3
3,Entry long,2023-01-30 06:00,USDCAD_1100_LONG_BASE,1.33293,1,1.33293,0.002,0.16,0,0.003,0.20,-0.001,-0.06,0.01,0.00,3
4,Exit long,2023-02-07 09:00,TP_OR_SL,1.34602,1,1.34272,0.003,0.25,0,0.003,0.25,-0.001,-0.07,0.01,0.00,3
4,Entry long,2023-02-07 06:00,USDCAD_1100_LONG_BASE,1.34272,1,1.34272,0.003,0.25,0,0.003,0.25,-0.001,-0.07,0.01,0.00,3
5,Exit long,2023-02-10 08:00,TP_OR_SL,1.3434,1,1.34495,-0.002,-0.12,0,0.0004,0.03,-0.002,-0.12,0.01,0.00,2
5,Entry long,2023-02-10 06:00,USDCAD_1100_LONG_BASE,1.34495,1,1.34495,-0.002,-0.12,0,0.0004,0.03,-0.002,-0.12,0.01,0.00,2
6,Exit long,2023-03-22 10:00,TIME_EXIT,1.37099,1,1.37042,0.001,0.04,0,0.002,0.14,-0.001,-0.08,0.01,0.00,3
6,Entry long,2023-03-22 07:00,USDCAD_1100_LONG_BASE,1.37042,1,1.37042,0.001,0.04,0,0.002,0.14,-0.001,-0.08,0.01,0.00,3
7,Exit long,2023-04-11 09:00,TP_OR_SL,1.34959,1,1.35091,-0.001,-0.10,0,0.001,0.05,-0.001,-0.10,0.01,0.00,2
