Trade number,Type,Date and time,Signal,Price CHF,Size (qty),Size (value),Net PnL CHF,Return %,Commission CHF,Favorable excursion CHF,Favorable excursion %,Adverse excursion CHF,Adverse excursion %,Cumulative PnL CHF,Cumulative PnL %,Duration (bars)
1,Exit short,2023-01-17 09:00,TIME_EXIT,0.91921,1,0.92112,0.002,0.21,0,0.002,0.25,-0.001,-0.15,0.002,0.00,3
1,Entry short,2023-01-17 06:00,USDCHF_1100_SHORT,0.92112,1,0.92112,0.002,0.21,0,0.002,0.25,-0.001,-0.15,0.002,0.00,3
2,Exit short,2023-01-18 09:00,TP_OR_SL,0.90978,1,0.91346,0.004,0.40,0,0.004,0.40,-0.001,-0.16,0.01,0.00,3
2,Entry short,2023-01-18 06:00,USDCHF_1100_SHORT,0.91346,1,0.91346,0.004,0.40,0,0.004,0.40,-0.001,-0.16,0.01,0.00,3
3,Exit short,2023-01-26 07:00,TP_OR_SL,0.9189,1,0.91756,-0.001,-0.15,0,0.00004,0.00,-0.001,-0.15,0.004,0.00,1
3,Entry short,2023-01-26 06:00,USDCHF_1100_SHORT,0.91756,1,0.91756,-0.001,-0.15,0,0.00004,0.00,-0.001,-0.15,0.004,0.00,1
4,Exit short,2023-02-01 09:00,TIME_EXIT,0.91586,1,0.9158,-0.0001,-0.01,0,0.001,0.16,-0.001,-0.07,0.004,0.00,3
4,Entry short,2023-02-01 06:00,USDCHF_1100_SHORT,0.9158,1,0.9158,-0.0001,-0.01,0,0.001,0.16,-0.001,-0.07,0.004,0.00,3
5,Exit short,2023-02-20 07:00,TP_OR_SL,0.9238,1,0.92244,-0.001,-0.15,0,0.0001,0.01,-0.001,-0.15,0.003,0.00,1
5,Entry short,2023-02-20 06:00,USDCHF_1100_SHORT,0.92244,1,0.92244,-0.001,-0.15,0,0.0001,0.01,-0.001,-0.15,0.003,0.00,1
6,Exit short,2023-03-10 07:00,TP_OR_SL,0.92939,1,0.92764,-0.002,-0.19,0,0.002,0.18,-0.002,-0.19,0.001,0.00,1
6,Entry short,2023-03-10 06:00,USDCHF_1100_SHORT,0.92764,1,0.92764,-0.002,-0.19,0,0.002,0.18,-0.002,-0.19,0.001,0.00,1
7,Exit short,2023-04-13 08:00,TP_OR_SL,0.8879,1,0.8906,0.003,0.30,0,0.003,0.30,-0.00005,-0.01,0.004,0.00,1
7,Entry short,2023-04-13 07:00,USDCHF_1100_SHORT,0.8906,1,0.8906,0.003,0.30,0,0.003,0.30,-0.00005,-0.01,0.004,0.00,1
8,Exit short,2023-04-21 09:00,TP_OR_SL,0.89307,1,0.89196,-0.001,-0.12,0,0.001,0.13,-0.001,-0.12,0.003,0.00,2
8,Entry short,2023-04-21 07:00,USDCHF_1100_SHORT,0.89196,1,0.89196,-0.001,-0.12,0,0.001,0.13,-0.001,-0.12,0.003,0.00,2
9,Exit short,2023-06-07 08:00,TP_OR_SL,0.90656,1,0.90556,-0.001,-0.11,0,0.001,0.06,-0.001,-0.11,0.002,0.00,1
9,Entry short,2023-06-07 07:00,USDCHF_1100_SHORT,0.90556,1,0.90556,-0.001,-0.11,0,0.001,0.06,-0.001,-0.11,0.002,0.00,1
10,Exit short,2023-06-26 08:00,TP_OR_SL,0.8929,1,0.8917,-0.001,-0.13,0,0.0001,0.01,-0.001,-0.13,0.0005,0.00,1
10,Entry short,2023-06-26 07:00,USDCHF_1100_SHORT,0.8917,1,0.8917,-0.001,-0.13,0,0.0001,0.01,-0.001,-0.13,0.0005,0.00,1
11,Exit short,2023-06-27 08:00,TP_OR_SL,0.89255,1,0.89468,0.002,0.24,0,0.002,0.24,0,0.00,0.003,0.00,1
11,Entry short,2023-06-27 07:00,USDCHF_1100_SHORT,0.89468,1,0.89468,0.002,0.24,0,0.002,0.24,0,0.00,0.003,0.00,1
12,Exit short,2023-07-13 09:00,TP_OR_SL,0.86004,1,0.86284,0.003,0.32,0,0.003,0.32,-0.001,-0.13,0.01,0.00,2
12,Entry short,2023-07-13 07:00,USDCHF_1100_SHORT,0.86284,1,0.86284,0.003,0.32,0,0.003,0.32,-0.001,-0.13,0.01,0.00,2
13,Exit short,2023-08-10 08:00,TP_OR_SL,0.87122,1,0.87304,0.002,0.21,0,0.002,0.21,-0.001,-0.10,0.01,0.00,1
13,Entry short,2023-08-10 07:00,USDCHF_1100_SHORT,0.87304,1,0.87304,0.002,0.21,0,0.002,0.21,-0.001,-0.10,0.01,0.00,1
14,Exit short,2023-08-30 08:00,TP_OR_SL,0.87722,1,0.87932,0.002,0.24,0,0.002,0.24,-0.0002,-0.03,0.01,0.00,1
14,Entry short,2023-08-30 07:00,USDCHF_1100_SHORT,0.87932,1,0.87932,0.002,0.24,0,0.002,0.24,-0.0002,-0.03,0.01,0.00,1
15,Exit short,2023-10-05 08:00,TP_OR_SL,0.91594,1,0.91444,-0.001,-0.16,0,0.0004,0.05,-0.001,-0.16,0.01,0.00,1
15,Entry short,2023-10-05 07:00,USDCHF_1100_SHORT,0.91444,1,0.91444,-0.001,-0.16,0,0.0004,0.05,-0.001,-0.16,0.01,0.00,1
16,Exit short,2023-10-06 08:00,TP_OR_SL,0.91241,1,0.91124,-0.001,-0.13,0,0.0001,0.01,-0.001,-0.13,0.01,0.00,1
16,Entry short,2023-10-06 07:00,USDCHF_1100_SHORT,0.91124,1,0.91124,-0.001,-0.13,0,0.0001,0.01,-0.001,-0.13,0.01,0.00,1
17,Exit short,2023-10-09 10:00,TP_OR_SL,0.90678,1,0.90976,0.003,0.33,0,0.003,0.33,-0.001,-0.07,0.01,0.00,3
17,Entry short,2023-10-09 07:00,USDCHF_1100_SHORT,0.90976,1,0.90976,0.003,0.33,0,0.003,0.33,-0.001,-0.07,0.01,0.00,3
18,Exit short,2023-10-16 10:00,TP_OR_SL,0.90322,1,0.90207,-0.001,-0.13,0,0.001,0.15,-0.001,-0.13,0.01,0.00,3
18,Entry short,2023-10-16 07:00,USDCHF_1100_SHORT,0.90207,1,0.90207,-0.001,-0.13,0,0.001,0.15,-0.001,-0.13,0.01,0.00,3
