Trade number,Type,Date and time,Signal,Price JPY,Size (qty),Size (value),Net PnL JPY,Return %,Commission JPY,Favorable excursion JPY,Favorable excursion %,Adverse excursion JPY,Adverse excursion %,Cumulative PnL JPY,Cumulative PnL %,Duration (bars)
1,Exit long,2023-01-20 08:00,TP_OR_SL,130.558,0.76,98.73768,0.49,0.49,0,0.49,0.49,-0.05,-0.05,0.49,0.00,2
1,Entry long,2023-01-20 06:00,USDJPY_BODY_EXTREME,129.918,0.76,98.73768,0.49,0.49,0,0.49,0.49,-0.05,-0.05,0.49,0.00,2
2,Exit long,2023-01-23 09:00,TIME_EXIT,130.634,0.76,99.047,0.23,0.24,0,0.43,0.44,-0.16,-0.16,0.72,0.01,3
2,Entry long,2023-01-23 06:00,USDJPY_BODY_EXTREME,130.325,0.76,99.047,0.23,0.24,0,0.43,0.44,-0.16,-0.16,0.72,0.01,3
3,Exit long,2023-02-24 08:00,TP_OR_SL,135.877,0.73,98.84346,0.35,0.35,0,0.35,0.35,0,0.00,1.07,0.01,2
3,Entry long,2023-02-24 06:00,USDJPY_BODY_EXTREME,135.402,0.73,98.84346,0.35,0.35,0,0.35,0.35,0,0.00,1.07,0.01,2
4,Exit short,2023-03-01 08:00,TP_OR_SL,135.575,0.73,98.79966,-0.17,-0.17,0,0.06,0.06,-0.17,-0.17,0.9,0.01,2
4,Entry short,2023-03-01 06:00,USDJPY_BODY_EXTREME,135.342,0.73,98.79966,-0.17,-0.17,0,0.06,0.06,-0.17,-0.17,0.9,0.01,2
5,Exit short,2023-03-17 10:00,TP_OR_SL,131.922,0.75,99.48,0.54,0.54,0,0.54,0.54,-0.08,-0.08,1.44,0.01,3
5,Entry short,2023-03-17 07:00,USDJPY_BODY_EXTREME,132.64,0.75,99.48,0.54,0.54,0,0.54,0.54,-0.08,-0.08,1.44,0.01,3
6,Exit long,2023-03-29 10:00,TIME_EXIT,132.484,0.75,99.1425,0.22,0.22,0,0.36,0.36,-0.02,-0.02,1.66,0.02,3
6,Entry long,2023-03-29 07:00,USDJPY_BODY_EXTREME,132.19,0.75,99.1425,0.22,0.22,0,0.36,0.36,-0.02,-0.02,1.66,0.02,3
7,Exit long,2023-04-10 09:00,TP_OR_SL,133.355,0.75,99.6465,0.37,0.37,0,0.37,0.37,-0.01,-0.01,2.03,0.02,2
7,Entry long,2023-04-10 07:00,USDJPY_BODY_EXTREME,132.862,0.75,99.6465,0.37,0.37,0,0.37,0.37,-0.01,-0.01,2.03,0.02,2
8,Exit long,2023-05-08 08:00,TP_OR_SL,135.004,0.73,98.69016,-0.14,-0.14,0,0.03,0.03,-0.14,-0.14,1.89,0.02,1
8,Entry long,2023-05-08 07:00,USDJPY_BODY_EXTREME,135.192,0.73,98.69016,-0.14,-0.14,0,0.03,0.03,-0.14,-0.14,1.89,0.02,1
9,Exit short,2023-05-11 08:00,TP_OR_SL,134.376,0.74,99.27544,-0.16,-0.16,0,0.3,0.31,-0.16,-0.16,1.73,0.02,1
9,Entry short,2023-05-11 07:00,USDJPY_BODY_EXTREME,134.156,0.74,99.27544,-0.16,-0.16,0,0.3,0.31,-0.16,-0.16,1.73,0.02,1
10,Exit long,2023-05-12 09:00,TP_OR_SL,134.754,0.74,99.8482,-0.13,-0.13,0,0.09,0.09,-0.13,-0.13,1.6,0.02,2
10,Entry long,2023-05-12 07:00,USDJPY_BODY_EXTREME,134.93,0.74,99.8482,-0.13,-0.13,0,0.09,0.09,-0.13,-0.13,1.6,0.02,2
11,Exit short,2023-06-01 08:00,TP_OR_SL,139.624,0.71,98.96832,-0.16,-0.17,0,0.2,0.20,-0.16,-0.17,1.43,0.01,1
11,Entry short,2023-06-01 07:00,USDJPY_BODY_EXTREME,139.392,0.71,98.96832,-0.16,-0.17,0,0.2,0.20,-0.16,-0.17,1.43,0.01,1
12,Exit short,2023-07-10 08:00,TP_OR_SL,142.393,0.7,99.4938,-0.18,-0.18,0,0.04,0.04,-0.18,-0.18,1.25,0.01,1
12,Entry short,2023-07-10 07:00,USDJPY_BODY_EXTREME,142.134,0.7,99.4938,-0.18,-0.18,0,0.04,0.04,-0.18,-0.18,1.25,0.01,1
13,Exit long,2023-08-01 10:00,TP_OR_SL,143.428,0.69,98.65275,0.31,0.32,0,0.31,0.32,-0.02,-0.02,1.56,0.02,3
13,Entry long,2023-08-01 07:00,USDJPY_BODY_EXTREME,142.975,0.69,98.65275,0.31,0.32,0,0.31,0.32,-0.02,-0.02,1.56,0.02,3
14,Exit long,2023-08-16 10:00,TIME_EXIT,145.805,0.68,99.11884,0.03,0.03,0,0.12,0.12,-0.07,-0.07,1.59,0.02,3
14,Entry long,2023-08-16 07:00,USDJPY_BODY_EXTREME,145.763,0.68,99.11884,0.03,0.03,0,0.12,0.12,-0.07,-0.07,1.59,0.02,3
15,Exit long,2023-08-29 10:00,TP_OR_SL,146.985,0.67,98.5838,-0.1,-0.11,0,0.16,0.16,-0.1,-0.11,1.49,0.01,3
15,Entry long,2023-08-29 07:00,USDJPY_BODY_EXTREME,147.14,0.67,98.5838,-0.1,-0.11,0,0.16,0.16,-0.1,-0.11,1.49,0.01,3
16,Exit short,2023-09-01 08:00,TP_OR_SL,144.889,0.68,98.75776,0.23,0.24,0,0.23,0.24,-0.05,-0.05,1.72,0.02,1
16,Entry short,2023-09-01 07:00,USDJPY_BODY_EXTREME,145.232,0.68,98.75776,0.23,0.24,0,0.23,0.24,-0.05,-0.05,1.72,0.02,1
17,Exit long,2023-09-05 08:00,TP_OR_SL,147.205,0.67,98.72182,-0.09,-0.10,0,0.11,0.11,-0.09,-0.10,1.63,0.02,1
17,Entry long,2023-09-05 07:00,USDJPY_BODY_EXTREME,147.346,0.67,98.72182,-0.09,-0.10,0,0.11,0.11,-0.09,-0.10,1.63,0.02,1
18,Exit long,2023-10-03 09:00,TP_OR_SL,149.875,0.66,98.98416,-0.07,-0.07,0,0.002,0.00,-0.07,-0.07,1.56,0.02,2
18,Entry long,2023-10-03 07:00,USDJPY_BODY_EXTREME,149.976,0.66,98.98416,-0.07,-0.07,0,0.002,0.00,-0.07,-0.07,1.56,0.02,2
19,Exit short,2023-11-15 07:00,TP_OR_SL,150.451,0.66,99.18216,-0.12,-0.12,0,0.01,0.01,-0.12,-0.12,1.44,0.01,1
19,Entry short,2023-11-15 06:00,USDJPY_BODY_EXTREME,150.276,0.66,99.18216,-0.12,-0.12,0,0.01,0.01,-0.12,-0.12,1.44,0.01,1
