Trade number,Type,Date and time,Signal,Price JPY,Size (qty),Size (value),Net PnL JPY,Return %,Commission JPY,Favorable excursion JPY,Favorable excursion %,Adverse excursion JPY,Adverse excursion %,Cumulative PnL JPY,Cumulative PnL %,Duration (bars)
1,Exit long,2023-01-04 10:00,TP_OR_SL,131.738,0.76,99.56608,0.55,0.56,0,0.55,0.56,-0.03,-0.03,0.55,0.01,1
1,Entry long,2023-01-04 09:00,BODY_EXTREME_LONG,131.008,0.76,99.56608,0.55,0.56,0,0.55,0.56,-0.03,-0.03,0.55,0.01,1
2,Exit long,2023-01-05 11:00,TIME_EXIT,133.578,0.74,98.92912,-0.08,-0.08,0,0.27,0.27,-0.16,-0.16,0.47,0.00,3
2,Entry long,2023-01-05 08:00,BODY_EXTREME_LONG,133.688,0.74,98.92912,-0.08,-0.08,0,0.27,0.27,-0.16,-0.16,0.47,0.00,3
3,Exit long,2023-01-06 08:00,TP_OR_SL,134.353,0.74,99.65802,-0.24,-0.24,0,0.08,0.08,-0.24,-0.24,0.24,0.00,1
3,Entry long,2023-01-06 07:00,BODY_EXTREME_LONG,134.673,0.74,99.65802,-0.24,-0.24,0,0.08,0.08,-0.24,-0.24,0.24,0.00,1
4,Exit long,2023-01-11 09:00,TP_OR_SL,132.515,0.75,99.57675,-0.19,-0.19,0,0.03,0.03,-0.19,-0.19,0.05,0.00,2
4,Entry long,2023-01-11 07:00,BODY_EXTREME_LONG,132.769,0.75,99.57675,-0.19,-0.19,0,0.03,0.03,-0.19,-0.19,0.05,0.00,2
5,Exit long,2023-01-20 08:00,TP_OR_SL,130.558,0.76,98.73768,0.49,0.49,0,0.49,0.49,-0.05,-0.05,0.53,0.01,2
5,Entry long,2023-01-20 06:00,BODY_EXTREME_LONG,129.918,0.76,98.73768,0.49,0.49,0,0.49,0.49,-0.05,-0.05,0.53,0.01,2
6,Exit long,2023-01-23 09:00,TIME_EXIT,130.634,0.76,99.047,0.23,0.24,0,0.43,0.44,-0.16,-0.16,0.77,0.01,3
6,Entry long,2023-01-23 06:00,BODY_EXTREME_LONG,130.325,0.76,99.047,0.23,0.24,0,0.43,0.44,-0.16,-0.16,0.77,0.01,3
7,Exit long,2023-01-24 09:00,TP_OR_SL,130.967,0.76,99.1268,0.41,0.41,0,0.41,0.41,-0.07,-0.07,1.18,0.01,1
7,Entry long,2023-01-24 08:00,BODY_EXTREME_LONG,130.43,0.76,99.1268,0.41,0.41,0,0.41,0.41,-0.07,-0.07,1.18,0.01,1
8,Exit long,2023-01-30 12:00,TIME_EXIT,130.414,0.76,99.00368,0.11,0.11,0,0.15,0.16,-0.07,-0.07,1.29,0.01,3
8,Entry long,2023-01-30 09:00,BODY_EXTREME_LONG,130.268,0.76,99.00368,0.11,0.11,0,0.15,0.16,-0.07,-0.07,1.29,0.01,3
9,Exit long,2023-02-06 11:00,TIME_EXIT,132.756,0.75,99.414,0.15,0.15,0,0.26,0.26,-0.13,-0.13,1.44,0.01,3
9,Entry long,2023-02-06 08:00,BODY_EXTREME_LONG,132.552,0.75,99.414,0.15,0.15,0,0.26,0.26,-0.13,-0.13,1.44,0.01,3
10,Exit long,2023-02-14 10:00,TP_OR_SL,132.372,0.75,99.55575,-0.28,-0.28,0,0.16,0.16,-0.28,-0.28,1.16,0.01,1
10,Entry long,2023-02-14 09:00,BODY_EXTREME_LONG,132.741,0.75,99.55575,-0.28,-0.28,0,0.16,0.16,-0.28,-0.28,1.16,0.01,1
11,Exit long,2023-02-15 10:00,TP_OR_SL,134.215,0.74,98.92098,0.4,0.40,0,0.4,0.40,-0.03,-0.03,1.56,0.02,3
11,Entry long,2023-02-15 07:00,BODY_EXTREME_LONG,133.677,0.74,98.92098,0.4,0.40,0,0.4,0.40,-0.03,-0.03,1.56,0.02,3
12,Exit long,2023-02-16 11:00,TP_OR_SL,134.014,0.74,99.3524,-0.18,-0.18,0,0.15,0.15,-0.18,-0.18,1.38,0.01,3
12,Entry long,2023-02-16 08:00,BODY_EXTREME_LONG,134.26,0.74,99.3524,-0.18,-0.18,0,0.15,0.15,-0.18,-0.18,1.38,0.01,3
13,Exit long,2023-02-17 07:00,TP_OR_SL,134.818,0.74,99.92812,-0.16,-0.16,0,0.004,0.00,-0.16,-0.16,1.22,0.01,1
13,Entry long,2023-02-17 06:00,BODY_EXTREME_LONG,135.038,0.74,99.92812,-0.16,-0.16,0,0.004,0.00,-0.16,-0.16,1.22,0.01,1
14,Exit long,2023-02-21 11:00,TIME_EXIT,134.874,0.74,99.79788,0.01,0.01,0,0.27,0.27,-0.14,-0.14,1.22,0.01,3
14,Entry long,2023-02-21 08:00,BODY_EXTREME_LONG,134.862,0.74,99.79788,0.01,0.01,0,0.27,0.27,-0.14,-0.14,1.22,0.01,3
15,Exit long,2023-02-23 09:00,TP_OR_SL,135.102,0.73,98.74856,-0.12,-0.13,0,0.02,0.03,-0.12,-0.13,1.1,0.01,1
15,Entry long,2023-02-23 08:00,BODY_EXTREME_LONG,135.272,0.73,98.74856,-0.12,-0.13,0,0.02,0.03,-0.12,-0.13,1.1,0.01,1
16,Exit long,2023-02-24 08:00,TP_OR_SL,135.877,0.73,98.84346,0.35,0.35,0,0.35,0.35,0,0.00,1.45,0.01,2
16,Entry long,2023-02-24 06:00,BODY_EXTREME_LONG,135.402,0.73,98.84346,0.35,0.35,0,0.35,0.35,0,0.00,1.45,0.01,2
17,Exit long,2023-03-02 10:00,TIME_EXIT,136.69,0.73,99.86692,-0.08,-0.08,0,0.22,0.22,-0.18,-0.18,1.36,0.01,3
